#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000008.1:200671-202002|- -            444 22118at91347         -            397  1.6e-234  776.0   8.1   1   1  1.1e-235  6.8e-233  770.7   8.1     1   397     1   443     1   443 0.96 NZ_ABEH02000008.1_189 # 200671 # 202002 # -1 # ID=12_189;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.532
NZ_ABEH02000009.1:2896-3909|+     -            338 22118at91347         -            397   2.8e-43  146.3   0.5   1   3     4e-18   2.4e-15   54.3   0.0    25    99     3    81     1    89 0.86 NZ_ABEH02000009.1_3 # 2896 # 3909 # 1 # ID=11_3;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NZ_ABEH02000009.1:2896-3909|+     -            338 22118at91347         -            397   2.8e-43  146.3   0.5   2   3   2.4e-13   1.4e-10   38.6   0.0   217   280    90   169    85   176 0.76 NZ_ABEH02000009.1_3 # 2896 # 3909 # 1 # ID=11_3;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NZ_ABEH02000009.1:2896-3909|+     -            338 22118at91347         -            397   2.8e-43  146.3   0.5   3   3   5.9e-17   3.6e-14   50.5   0.0   280   372   213   300   185   325 0.81 NZ_ABEH02000009.1_3 # 2896 # 3909 # 1 # ID=11_3;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.538
NZ_ABEH02000003.1:482118-483698|- -            527 22118at91347         -            397     3e-08   31.0   0.4   1   3   1.3e-09   7.8e-07   26.3   0.0    15   103    37   124    24   126 0.79 NZ_ABEH02000003.1_453 # 482118 # 483698 # -1 # ID=17_453;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
NZ_ABEH02000003.1:482118-483698|- -            527 22118at91347         -            397     3e-08   31.0   0.4   2   3     0.028        17    2.2   0.1   220   237   128   145   121   163 0.86 NZ_ABEH02000003.1_453 # 482118 # 483698 # -1 # ID=17_453;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
NZ_ABEH02000003.1:482118-483698|- -            527 22118at91347         -            397     3e-08   31.0   0.4   3   3      0.91   5.5e+02   -2.8   0.0   292   329   428   468   424   477 0.75 NZ_ABEH02000003.1_453 # 482118 # 483698 # -1 # ID=17_453;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
NZ_ABEH02000006.1:139640-142213|+ -            858 22118at91347         -            397   5.1e-07   26.9   0.1   1   2    0.0052       3.1    4.6   0.1    33    66   189   221   172   227 0.80 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NZ_ABEH02000006.1:139640-142213|+ -            858 22118at91347         -            397   5.1e-07   26.9   0.1   2   2     2e-07   0.00012   19.1   0.0    12    86   568   643   561   649 0.77 NZ_ABEH02000006.1_136 # 139640 # 142213 # 1 # ID=14_136;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NZ_ABEH02000007.1:210840-213116|+ -            759 22118at91347         -            397   3.6e-06   24.1   0.4   1   4    0.0052       3.1    4.5   0.0    44    65   207   228   193   246 0.81 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000007.1:210840-213116|+ -            759 22118at91347         -            397   3.6e-06   24.1   0.4   2   4      0.16        96   -0.3   0.0   215   232   273   292   263   318 0.72 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000007.1:210840-213116|+ -            759 22118at91347         -            397   3.6e-06   24.1   0.4   3   4       1.4   8.3e+02   -3.4   0.0   197   219   383   405   352   407 0.77 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000007.1:210840-213116|+ -            759 22118at91347         -            397   3.6e-06   24.1   0.4   4   4   3.3e-06     0.002   15.1   0.0    11    82   457   526   452   536 0.78 NZ_ABEH02000007.1_201 # 210840 # 213116 # 1 # ID=13_201;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABEH02000004.1:435095-435616|+ -            174 22118at91347         -            397   0.00051   17.0   0.2   1   1     1e-06   0.00063   16.7   0.2    45   175     5   147     2   171 0.64 NZ_ABEH02000004.1_389 # 435095 # 435616 # 1 # ID=16_389;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NZ_ABEH02000001.1:194074-195024|+ -            317 22118at91347         -            397     0.035   11.0   0.0   1   1   9.2e-05     0.056   10.3   0.0    43    77     9    43     1    55 0.88 NZ_ABEH02000001.1_156 # 194074 # 195024 # 1 # ID=19_156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/22118at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/22118at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/22118at91347.hmm reports/busco-results/data/00-reads/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:05:27 2026
# [ok]
