#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000001.1:540148-541506|+ -            453 58706at91347         -            371  6.4e-164  543.1   2.0   1   1  1.5e-165  1.3e-162  538.8   2.0    12   371    25   443     1   443 0.89 NZ_ABEH02000001.1_485 # 540148 # 541506 # 1 # ID=19_485;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_ABEH02000001.1:542585-543901|+ -            439 58706at91347         -            371   2.4e-15   54.2   0.5   1   2   1.2e-10   9.7e-08   29.1   0.0    72   192   101   215    87   221 0.85 NZ_ABEH02000001.1_487 # 542585 # 543901 # 1 # ID=19_487;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABEH02000001.1:542585-543901|+ -            439 58706at91347         -            371   2.4e-15   54.2   0.5   2   2   6.9e-09   5.8e-06   23.3   0.1   215   293   262   343   254   351 0.83 NZ_ABEH02000001.1_487 # 542585 # 543901 # 1 # ID=19_487;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585
NZ_ABEH02000001.1:538664-540151|+ -            496 58706at91347         -            371   2.5e-07   27.8   1.2   1   2   9.8e-06    0.0083   12.9   0.7    14   192    25   243    21   258 0.64 NZ_ABEH02000001.1_484 # 538664 # 540151 # 1 # ID=19_484;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NZ_ABEH02000001.1:538664-540151|+ -            496 58706at91347         -            371   2.5e-07   27.8   1.2   2   2     9e-05     0.076    9.7   0.0   213   258   299   344   294   348 0.93 NZ_ABEH02000001.1_484 # 538664 # 540151 # 1 # ID=19_484;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NZ_ABEH02000001.1:546328-547803|+ -            492 58706at91347         -            371   7.1e-06   23.0   0.1   1   2   0.00036       0.3    7.8   0.0    79   166   121   203    69   224 0.72 NZ_ABEH02000001.1_490 # 546328 # 547803 # 1 # ID=19_490;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABEH02000001.1:546328-547803|+ -            492 58706at91347         -            371   7.1e-06   23.0   0.1   2   2     1e-05    0.0088   12.8   0.0   212   256   283   327   275   331 0.90 NZ_ABEH02000001.1_490 # 546328 # 547803 # 1 # ID=19_490;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NZ_ABEH02000001.1:246865-248238|+ -            458 58706at91347         -            371    0.0018   15.1   1.0   1   2    0.0011      0.92    6.2   0.1    79   104   105   130    92   214 0.70 NZ_ABEH02000001.1_212 # 246865 # 248238 # 1 # ID=19_212;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
NZ_ABEH02000001.1:246865-248238|+ -            458 58706at91347         -            371    0.0018   15.1   1.0   2   2    0.0012         1    6.0   0.1   213   257   271   315   267   318 0.87 NZ_ABEH02000001.1_212 # 246865 # 248238 # 1 # ID=19_212;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58706at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58706at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:47 2026
# [ok]
