#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011149.1:3839991-3840470|+ -            160 78566at91347         -            144     3e-73  242.5   0.1   1   1   3.7e-76   3.4e-73  242.3   0.1     1   143     3   157     3   158 0.92 NC_011149.1_3585 # 3839991 # 3840470 # 1 # ID=1_3585;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NC_011149.1:682126-682776|-   -            217 78566at91347         -            144   5.1e-05   21.3   0.0   1   3   5.8e-06    0.0052   14.7   0.0     2    26     8    32     7    44 0.80 NC_011149.1_623 # 682126 # 682776 # -1 # ID=1_623;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NC_011149.1:682126-682776|-   -            217 78566at91347         -            144   5.1e-05   21.3   0.0   2   3     0.037        34    2.4   0.0    32    47    65    79    57    87 0.82 NC_011149.1_623 # 682126 # 682776 # -1 # ID=1_623;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NC_011149.1:682126-682776|-   -            217 78566at91347         -            144   5.1e-05   21.3   0.0   3   3      0.22     2e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NC_011149.1_623 # 682126 # 682776 # -1 # ID=1_623;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NC_011149.1:68702-69670|+     -            323 78566at91347         -            144     0.024   12.6   0.0   1   1   4.3e-05     0.039   11.9   0.0    10    64   133   188   127   238 0.68 NC_011149.1_58 # 68702 # 69670 # 1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.545
NC_011149.1:4777037-4778269|+ -            411 78566at91347         -            144     0.039   11.9   0.6   1   3   0.00019      0.17    9.8   0.0     6    34    70    98    65   109 0.87 NC_011149.1_4436 # 4777037 # 4778269 # 1 # ID=1_4436;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.511
NC_011149.1:4777037-4778269|+ -            411 78566at91347         -            144     0.039   11.9   0.6   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NC_011149.1_4436 # 4777037 # 4778269 # 1 # ID=1_4436;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.511
NC_011149.1:4777037-4778269|+ -            411 78566at91347         -            144     0.039   11.9   0.6   3   3      0.98   8.8e+02   -2.2   0.0    57    77   363   383   359   387 0.81 NC_011149.1_4436 # 4777037 # 4778269 # 1 # ID=1_4436;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.511
NC_011149.1:3285484-3286917|- -            478 78566at91347         -            144     0.045   11.7   0.0   1   2       3.2   2.8e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NC_011149.1_3069 # 3285484 # 3286917 # -1 # ID=1_3069;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NC_011149.1:3285484-3286917|- -            478 78566at91347         -            144     0.045   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NC_011149.1_3069 # 3285484 # 3286917 # -1 # ID=1_3069;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm reports/busco-results/GCF_000020885.1_ASM2088v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:23:28 2026
# [ok]
