#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000003.1:317024-317503|+ -            160 78566at91347         -            144   2.8e-73  242.5   0.1   1   1   3.5e-76   3.1e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABEL01000003.1_275 # 317024 # 317503 # 1 # ID=46_275;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NZ_ABEL01000001.1:451700-452350|- -            217 78566at91347         -            144     5e-05   21.3   0.0   1   3   5.8e-06    0.0051   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABEL01000001.1_447 # 451700 # 452350 # -1 # ID=48_447;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABEL01000001.1:451700-452350|- -            217 78566at91347         -            144     5e-05   21.3   0.0   2   3     0.037        33    2.4   0.0    32    47    65    79    57    88 0.82 NZ_ABEL01000001.1_447 # 451700 # 452350 # -1 # ID=48_447;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABEL01000001.1:451700-452350|- -            217 78566at91347         -            144     5e-05   21.3   0.0   3   3      0.22   1.9e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABEL01000001.1_447 # 451700 # 452350 # -1 # ID=48_447;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NZ_ABEL01000008.1:170353-171321|- -            323 78566at91347         -            144     0.025   12.5   0.0   1   1   4.5e-05      0.04   11.8   0.0    10    64   133   188   127   237 0.68 NZ_ABEL01000008.1_147 # 170353 # 171321 # -1 # ID=41_147;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000014.1:66541-67872|-   -            444 78566at91347         -            144     0.042   11.8   0.5   1   3   0.00021      0.18    9.7   0.0     6    34   103   131    98   142 0.87 NZ_ABEL01000014.1_64 # 66541 # 67872 # -1 # ID=35_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEL01000014.1:66541-67872|-   -            444 78566at91347         -            144     0.042   11.8   0.5   2   3       1.3   1.1e+03   -2.6   0.0     8    30   316   338   311   341 0.80 NZ_ABEL01000014.1_64 # 66541 # 67872 # -1 # ID=35_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEL01000014.1:66541-67872|-   -            444 78566at91347         -            144     0.042   11.8   0.5   3   3       1.1   9.9e+02   -2.4   0.0    57    77   396   416   393   420 0.80 NZ_ABEL01000014.1_64 # 66541 # 67872 # -1 # ID=35_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.510
NZ_ABEL01000006.1:89577-91010|-   -            478 78566at91347         -            144     0.045   11.7   0.0   1   2       3.2   2.8e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABEL01000006.1_87 # 89577 # 91010 # -1 # ID=43_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NZ_ABEL01000006.1:89577-91010|-   -            478 78566at91347         -            144     0.045   11.7   0.0   2   2   0.00013      0.11   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABEL01000006.1_87 # 89577 # 91010 # -1 # ID=43_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:17 2026
# [ok]
