#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:148112-149428|+   -            439 38133at91347         -            376    6e-180  596.2   0.0   1   1  1.5e-182  8.8e-180  595.7   0.0     1   376     1   438     1   438 0.90 NC_016856.1_124 # 148112 # 149428 # 1 # ID=1_124;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_016856.1:145675-147033|+   -            453 38133at91347         -            376   1.7e-13   48.4   0.4   1   2   6.2e-09   3.6e-06   24.3   0.0    90   197   100   223    84   237 0.76 NC_016856.1_122 # 145675 # 147033 # 1 # ID=1_122;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_016856.1:145675-147033|+   -            453 38133at91347         -            376   1.7e-13   48.4   0.4   2   2   2.6e-08   1.5e-05   22.3   0.1   196   292   249   350   235   366 0.76 NC_016856.1_122 # 145675 # 147033 # 1 # ID=1_122;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_016856.1:151855-153330|+   -            492 38133at91347         -            376     3e-12   44.3   0.0   1   2   2.4e-10   1.4e-07   28.9   0.0    52   181    73   215    18   238 0.72 NC_016856.1_127 # 151855 # 153330 # 1 # ID=1_127;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NC_016856.1:151855-153330|+   -            492 38133at91347         -            376     3e-12   44.3   0.0   2   2   1.5e-05    0.0089   13.1   0.0   224   264   290   330   260   337 0.91 NC_016856.1_127 # 151855 # 153330 # 1 # ID=1_127;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.564
NC_016856.1:144191-145678|+   -            496 38133at91347         -            376   1.5e-09   35.4   3.7   1   3   1.1e-06   0.00066   16.9   0.6    88   130   107   149   104   154 0.92 NC_016856.1_121 # 144191 # 145678 # 1 # ID=1_121;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_016856.1:144191-145678|+   -            496 38133at91347         -            376   1.5e-09   35.4   3.7   2   3   3.1e-07   0.00018   18.7   0.0   134   198   178   246   152   262 0.79 NC_016856.1_121 # 144191 # 145678 # 1 # ID=1_121;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_016856.1:144191-145678|+   -            496 38133at91347         -            376   1.5e-09   35.4   3.7   3   3      0.79   4.6e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NC_016856.1_121 # 144191 # 145678 # 1 # ID=1_121;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
NC_016856.1:4669501-4670880|+ -            460 38133at91347         -            376   0.00012   19.2   0.0   1   2     0.018        11    3.0   0.0    91   120   104   133    95   192 0.83 NC_016856.1_4357 # 4669501 # 4670880 # 1 # ID=1_4357;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NC_016856.1:4669501-4670880|+ -            460 38133at91347         -            376   0.00012   19.2   0.0   2   2     1e-05    0.0061   13.7   0.0   212   288   265   346   247   356 0.86 NC_016856.1_4357 # 4669501 # 4670880 # 1 # ID=1_4357;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
NC_016856.1:3512889-3514307|+ -            473 38133at91347         -            376   0.00013   19.2   0.0   1   2   3.4e-05      0.02   12.0   0.0     5    38   145   178   142   186 0.91 NC_016856.1_3316 # 3512889 # 3514307 # 1 # ID=1_3316;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NC_016856.1:3512889-3514307|+ -            473 38133at91347         -            376   0.00013   19.2   0.0   2   2    0.0045       2.6    5.0   0.0     4    32   285   313   282   332 0.82 NC_016856.1_3316 # 3512889 # 3514307 # 1 # ID=1_3316;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.562
NC_016856.1:2641167-2643128|- -            654 38133at91347         -            376    0.0029   14.7   0.0   1   2   4.6e-05     0.027   11.6   0.0     5    38   326   359   322   367 0.91 NC_016856.1_2520 # 2641167 # 2643128 # -1 # ID=1_2520;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NC_016856.1:2641167-2643128|- -            654 38133at91347         -            376    0.0029   14.7   0.0   2   2     0.088        51    0.8   0.0     5    31   467   493   463   512 0.81 NC_016856.1_2520 # 2641167 # 2643128 # -1 # ID=1_2520;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.585
NC_016856.1:2528906-2530174|- -            423 38133at91347         -            376     0.017   12.2   0.0   1   3   0.00086       0.5    7.4   0.0    91   121    50    80    23    85 0.81 NC_016856.1_2410 # 2528906 # 2530174 # -1 # ID=1_2410;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
NC_016856.1:2528906-2530174|- -            423 38133at91347         -            376     0.017   12.2   0.0   2   3     0.037        21    2.0   0.0   133   171   140   179   131   208 0.81 NC_016856.1_2410 # 2528906 # 2530174 # -1 # ID=1_2410;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.585
