#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEH02000004.1:174992-175471|- -            160 78566at91347         -            144   2.7e-73  242.5   0.1   1   1   3.5e-76     3e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABEH02000004.1_166 # 174992 # 175471 # -1 # ID=16_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABEH02000009.1:176559-177209|- -            217 78566at91347         -            144   4.7e-05   21.3   0.0   1   3   5.8e-06    0.0049   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABEH02000009.1_172 # 176559 # 177209 # -1 # ID=11_172;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEH02000009.1:176559-177209|- -            217 78566at91347         -            144   4.7e-05   21.3   0.0   2   3     0.037        32    2.4   0.0    32    47    65    79    57    87 0.82 NZ_ABEH02000009.1_172 # 176559 # 177209 # -1 # ID=11_172;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEH02000009.1:176559-177209|- -            217 78566at91347         -            144   4.7e-05   21.3   0.0   3   3      0.22   1.9e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABEH02000009.1_172 # 176559 # 177209 # -1 # ID=11_172;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NZ_ABEH02000001.1:461993-463036|+ -            348 78566at91347         -            144     0.032   12.1   0.0   1   1   6.4e-05     0.054   11.3   0.0    10    64   158   213   152   262 0.70 NZ_ABEH02000001.1_419 # 461993 # 463036 # 1 # ID=19_419;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.531
NZ_ABEH02000001.1:377436-378668|+ -            411 78566at91347         -            144     0.037   11.9   0.6   1   3   0.00019      0.16    9.8   0.0     6    34    70    98    65   109 0.87 NZ_ABEH02000001.1_343 # 377436 # 378668 # 1 # ID=19_343;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.508
NZ_ABEH02000001.1:377436-378668|+ -            411 78566at91347         -            144     0.037   11.9   0.6   2   3       1.1   9.4e+02   -2.4   0.0     8    30   283   305   278   309 0.80 NZ_ABEH02000001.1_343 # 377436 # 378668 # 1 # ID=19_343;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.508
NZ_ABEH02000001.1:377436-378668|+ -            411 78566at91347         -            144     0.037   11.9   0.6   3   3      0.98   8.2e+02   -2.2   0.0    57    77   363   383   359   387 0.81 NZ_ABEH02000001.1_343 # 377436 # 378668 # 1 # ID=19_343;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.508
NZ_ABEH02000003.1:383204-384637|- -            478 78566at91347         -            144     0.042   11.7   0.0   1   2       3.2   2.7e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABEH02000003.1_363 # 383204 # 384637 # -1 # ID=17_363;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NZ_ABEH02000003.1:383204-384637|- -            478 78566at91347         -            144     0.042   11.7   0.0   2   2   0.00013      0.11   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABEH02000003.1_363 # 383204 # 384637 # -1 # ID=17_363;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/78566at91347.hmm reports/busco-results/GCF_000171255.1_ASM17125v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:25:35 2026
# [ok]
