#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:144885-146372|+   -            496 30417at91347         -            419  9.9e-193  638.6   0.0   1   1  3.5e-195  2.7e-192  637.2   0.0     1   418     3   492     3   493 0.90 NC_004631.1_127 # 144885 # 146372 # 1 # ID=1_127;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588
NC_004631.1:148806-150122|+   -            439 30417at91347         -            419   1.9e-11   41.4   4.3   1   1   5.2e-13     4e-10   37.1   4.3    81   284   106   306    97   353 0.75 NC_004631.1_130 # 148806 # 150122 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.583
NC_004631.1:146369-147727|+   -            453 30417at91347         -            419     5e-11   40.1   0.0   1   1   2.5e-13   1.9e-10   38.1   0.0    12   298    24   336    21   349 0.73 NC_004631.1_128 # 146369 # 147727 # 1 # ID=1_128;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565
NC_004631.1:152549-154024|+   -            492 30417at91347         -            419   1.3e-05   22.3   0.0   1   3   0.00055      0.42    7.4   0.0    82   100   121   139    81   150 0.69 NC_004631.1_133 # 152549 # 154024 # 1 # ID=1_133;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_004631.1:152549-154024|+   -            492 30417at91347         -            419   1.3e-05   22.3   0.0   2   3   3.8e-05      0.03   11.2   0.0   159   210   185   241   179   250 0.79 NC_004631.1_133 # 152549 # 154024 # 1 # ID=1_133;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_004631.1:152549-154024|+   -            492 30417at91347         -            419   1.3e-05   22.3   0.0   3   3      0.17   1.3e+02   -0.8   0.0   284   314   343   373   336   418 0.69 NC_004631.1_133 # 152549 # 154024 # 1 # ID=1_133;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_004631.1:571070-572338|+   -            423 30417at91347         -            419   0.00028   17.9   0.0   1   2     0.019        14    2.3   0.0    82   100    51    69    32    83 0.75 NC_004631.1_505 # 571070 # 572338 # 1 # ID=1_505;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.583
NC_004631.1:571070-572338|+   -            423 30417at91347         -            419   0.00028   17.9   0.0   2   2   1.6e-05     0.012   12.4   0.0   134   395   135   406   117   415 0.56 NC_004631.1_505 # 571070 # 572338 # 1 # ID=1_505;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.583
NC_004631.1:4618666-4620039|+ -            458 30417at91347         -            419    0.0023   14.8   0.1   1   2    0.0072       5.6    3.7   0.0    82   104   105   127   100   153 0.78 NC_004631.1_4462 # 4618666 # 4620039 # 1 # ID=1_4462;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.582
NC_004631.1:4618666-4620039|+ -            458 30417at91347         -            419    0.0023   14.8   0.1   2   2   0.00019      0.15    8.9   0.0   229   311   266   348   180   358 0.81 NC_004631.1_4462 # 4618666 # 4620039 # 1 # ID=1_4462;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.582
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm
# Target file:     reports/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/run_enterobacterales_odb10/hmmer_output/30417at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/30417at91347.hmm reports/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 21:37:19 2026
# [ok]
