#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000002.1:157767-158198|+ -            144 86762at91347         -            108     4e-37  124.8   2.2   1   1   2.7e-37     2e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABFG01000002.1_148 # 157767 # 158198 # 1 # ID=49_148;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.500
NZ_ABFG01000005.1:278751-279278|- -            176 86762at91347         -            108   9.9e-06   23.8   0.0   1   2   9.8e-05     0.073   11.3   0.0    32    65     6    38     1    42 0.80 NZ_ABFG01000005.1_260 # 278751 # 279278 # -1 # ID=46_260;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.566
NZ_ABFG01000005.1:278751-279278|- -            176 86762at91347         -            108   9.9e-06   23.8   0.0   2   2   0.00019      0.14   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABFG01000005.1_260 # 278751 # 279278 # -1 # ID=46_260;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.566
NZ_ABFG01000002.1:367671-367997|+ -            109 86762at91347         -            108   1.3e-05   23.4   0.0   1   2   7.4e-07   0.00055   18.2   0.0    28    70     3    45     1    65 0.87 NZ_ABFG01000002.1_325 # 367671 # 367997 # 1 # ID=49_325;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABFG01000002.1:367671-367997|+ -            109 86762at91347         -            108   1.3e-05   23.4   0.0   2   2     0.027        20    3.5   0.0    79    99    78    98    70   104 0.89 NZ_ABFG01000002.1_325 # 367671 # 367997 # 1 # ID=49_325;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABFG01000013.1:28931-29983|-   -            351 86762at91347         -            108    0.0031   15.8   0.0   1   2   2.6e-05     0.019   13.2   0.0    36    69   140   173   133   206 0.84 NZ_ABFG01000013.1_32 # 28931 # 29983 # -1 # ID=38_32;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABFG01000013.1:28931-29983|-   -            351 86762at91347         -            108    0.0031   15.8   0.0   2   2      0.63   4.7e+02   -0.9   0.0    79    98   213   232   207   236 0.86 NZ_ABFG01000013.1_32 # 28931 # 29983 # -1 # ID=38_32;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABFG01000001.1:552112-552426|+ -            105 86762at91347         -            108    0.0042   15.4   0.0   1   1   7.8e-06    0.0058   14.9   0.0    49    72    24    47    18    69 0.85 NZ_ABFG01000001.1_539 # 552112 # 552426 # 1 # ID=50_539;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.435
NZ_ABFG01000004.1:67409-68251|-   -            281 86762at91347         -            108     0.013   13.8   0.1   1   4       1.7   1.2e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABFG01000004.1_66 # 67409 # 68251 # -1 # ID=47_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABFG01000004.1:67409-68251|-   -            281 86762at91347         -            108     0.013   13.8   0.1   2   4   0.00031      0.23    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABFG01000004.1_66 # 67409 # 68251 # -1 # ID=47_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABFG01000004.1:67409-68251|-   -            281 86762at91347         -            108     0.013   13.8   0.1   3   4      0.41   3.1e+02   -0.3   0.0    44    58   167   181   150   206 0.62 NZ_ABFG01000004.1_66 # 67409 # 68251 # -1 # ID=47_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NZ_ABFG01000004.1:67409-68251|-   -            281 86762at91347         -            108     0.013   13.8   0.1   4   4       2.3   1.7e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABFG01000004.1_66 # 67409 # 68251 # -1 # ID=47_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/86762at91347.hmm reports/busco-results/GCF_000171515.1_ASM17151v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:27:13 2026
# [ok]
