#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:362608-365463|-   -            952 854at91347           -            818         0 1433.3   0.0   1   1         0         0 1432.5   0.0     1   814     1   932     1   935 0.91 NZ_ABAM02000001.1_324 # 362608 # 365463 # -1 # ID=2_324;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.569
NZ_ABAM02000001.1:1208033-1210615|- -            861 854at91347           -            818   2.4e-39  133.0   0.6   1   5   4.6e-24     5e-21   72.4   0.1     1   179     1   169     1   178 0.82 NZ_ABAM02000001.1_1083 # 1208033 # 1210615 # -1 # ID=2_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABAM02000001.1:1208033-1210615|- -            861 854at91347           -            818   2.4e-39  133.0   0.6   2   5   0.00072      0.78    5.6   0.1   152   224   196   266   179   303 0.74 NZ_ABAM02000001.1_1083 # 1208033 # 1210615 # -1 # ID=2_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABAM02000001.1:1208033-1210615|- -            861 854at91347           -            818   2.4e-39  133.0   0.6   3   5   1.9e-08   2.1e-05   20.8   0.0   231   284   306   359   299   374 0.88 NZ_ABAM02000001.1_1083 # 1208033 # 1210615 # -1 # ID=2_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABAM02000001.1:1208033-1210615|- -            861 854at91347           -            818   2.4e-39  133.0   0.6   4   5   0.00035      0.38    6.7   0.0   384   402   416   434   412   450 0.84 NZ_ABAM02000001.1_1083 # 1208033 # 1210615 # -1 # ID=2_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABAM02000001.1:1208033-1210615|- -            861 854at91347           -            818   2.4e-39  133.0   0.6   5   5   1.9e-07    0.0002   17.5   0.0   483   700   548   776   479   792 0.62 NZ_ABAM02000001.1_1083 # 1208033 # 1210615 # -1 # ID=2_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABAM02000001.1:555150-557984|+   -            945 854at91347           -            818   1.4e-38  130.4   0.0   1   4     4e-15   4.3e-12   42.8   0.0    25   187    45   206    32   284 0.90 NZ_ABAM02000001.1_494 # 555150 # 557984 # 1 # ID=2_494;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABAM02000001.1:555150-557984|+   -            945 854at91347           -            818   1.4e-38  130.4   0.0   2   4   6.4e-15     7e-12   42.2   0.0   236   434   308   510   304   514 0.77 NZ_ABAM02000001.1_494 # 555150 # 557984 # 1 # ID=2_494;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABAM02000001.1:555150-557984|+   -            945 854at91347           -            818   1.4e-38  130.4   0.0   3   4   3.5e-10   3.8e-07   26.5   0.1   419   529   521   623   506   661 0.79 NZ_ABAM02000001.1_494 # 555150 # 557984 # 1 # ID=2_494;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABAM02000001.1:555150-557984|+   -            945 854at91347           -            818   1.4e-38  130.4   0.0   4   4   2.4e-06    0.0026   13.8   0.1   610   698   679   778   622   782 0.82 NZ_ABAM02000001.1_494 # 555150 # 557984 # 1 # ID=2_494;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABAM02000001.1:2708840-2710873|+ -            678 854at91347           -            818   0.00042   16.4   0.2   1   3   3.8e-07   0.00042   16.4   0.2    36    79    13    56     2    82 0.84 NZ_ABAM02000001.1_2523 # 2708840 # 2710873 # 1 # ID=2_2523;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.551
NZ_ABAM02000001.1:2708840-2710873|+ -            678 854at91347           -            818   0.00042   16.4   0.2   2   3     0.094     1e+02   -1.4   0.2   373   415   214   267   210   329 0.55 NZ_ABAM02000001.1_2523 # 2708840 # 2710873 # 1 # ID=2_2523;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.551
NZ_ABAM02000001.1:2708840-2710873|+ -            678 854at91347           -            818   0.00042   16.4   0.2   3   3       0.1   1.1e+02   -1.6   0.0   498   520   322   343   317   366 0.78 NZ_ABAM02000001.1_2523 # 2708840 # 2710873 # 1 # ID=2_2523;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.551
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/854at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/854at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/854at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:47 2026
# [ok]
