#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:4729846-4732701|- -            952 854at91347           -            818         0 1432.8   0.0   1   1         0         0 1432.0   0.0     1   814     1   932     1   935 0.91 NC_016856.1_4415 # 4729846 # 4732701 # -1 # ID=1_4415;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.570
NC_016856.1:709621-712203|-   -            861 854at91347           -            818   2.6e-39  133.0   0.6   1   5   4.6e-24   5.3e-21   72.4   0.1     1   179     1   169     1   178 0.82 NC_016856.1_641 # 709621 # 712203 # -1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_016856.1:709621-712203|-   -            861 854at91347           -            818   2.6e-39  133.0   0.6   2   5   0.00072      0.84    5.6   0.1   152   224   196   266   179   303 0.74 NC_016856.1_641 # 709621 # 712203 # -1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_016856.1:709621-712203|-   -            861 854at91347           -            818   2.6e-39  133.0   0.6   3   5   1.9e-08   2.2e-05   20.8   0.0   231   284   306   359   299   374 0.88 NC_016856.1_641 # 709621 # 712203 # -1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_016856.1:709621-712203|-   -            861 854at91347           -            818   2.6e-39  133.0   0.6   4   5   0.00035       0.4    6.7   0.0   384   402   416   434   412   450 0.84 NC_016856.1_641 # 709621 # 712203 # -1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_016856.1:709621-712203|-   -            861 854at91347           -            818   2.6e-39  133.0   0.6   5   5   1.9e-07   0.00022   17.5   0.0   483   700   548   776   479   792 0.62 NC_016856.1_641 # 709621 # 712203 # -1 # ID=1_641;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_016856.1:53855-56689|+     -            945 854at91347           -            818   1.5e-38  130.4   0.0   1   4     4e-15   4.6e-12   42.8   0.0    25   187    45   206    32   284 0.90 NC_016856.1_45 # 53855 # 56689 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NC_016856.1:53855-56689|+     -            945 854at91347           -            818   1.5e-38  130.4   0.0   2   4   6.4e-15   7.5e-12   42.2   0.0   236   434   308   510   304   514 0.77 NC_016856.1_45 # 53855 # 56689 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NC_016856.1:53855-56689|+     -            945 854at91347           -            818   1.5e-38  130.4   0.0   3   4   3.5e-10     4e-07   26.5   0.1   419   529   521   623   506   661 0.79 NC_016856.1_45 # 53855 # 56689 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NC_016856.1:53855-56689|+     -            945 854at91347           -            818   1.5e-38  130.4   0.0   4   4   2.4e-06    0.0028   13.8   0.1   610   698   679   778   622   782 0.82 NC_016856.1_45 # 53855 # 56689 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NC_016856.1:2301292-2303325|+ -            678 854at91347           -            818   0.00045   16.4   0.2   1   3   3.8e-07   0.00045   16.4   0.2    36    79    13    56     2    82 0.84 NC_016856.1_2202 # 2301292 # 2303325 # 1 # ID=1_2202;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.548
NC_016856.1:2301292-2303325|+ -            678 854at91347           -            818   0.00045   16.4   0.2   2   3     0.094   1.1e+02   -1.4   0.2   373   415   214   267   210   329 0.55 NC_016856.1_2202 # 2301292 # 2303325 # 1 # ID=1_2202;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.548
NC_016856.1:2301292-2303325|+ -            678 854at91347           -            818   0.00045   16.4   0.2   3   3       0.1   1.2e+02   -1.6   0.0   498   520   322   343   317   366 0.78 NC_016856.1_2202 # 2301292 # 2303325 # 1 # ID=1_2202;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000022165.1_ASM2216v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/854at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm reports/busco-results/data/00-reads/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:44 2026
# [ok]
