#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000011.1:90342-93197|+   -            952 854at91347           -            818         0 1433.5   0.0   1   1         0         0 1432.7   0.0     1   814     1   932     1   935 0.91 NZ_ABEL01000011.1_76 # 90342 # 93197 # 1 # ID=38_76;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.568
NZ_ABEL01000001.1:453979-456561|- -            861 854at91347           -            818     3e-39  132.7   1.0   1   5   4.6e-24   5.1e-21   72.4   0.1     1   179     1   169     1   178 0.82 NZ_ABEL01000001.1_450 # 453979 # 456561 # -1 # ID=48_450;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABEL01000001.1:453979-456561|- -            861 854at91347           -            818     3e-39  132.7   1.0   2   5   0.00072       0.8    5.6   0.1   152   224   196   266   179   303 0.74 NZ_ABEL01000001.1_450 # 453979 # 456561 # -1 # ID=48_450;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABEL01000001.1:453979-456561|- -            861 854at91347           -            818     3e-39  132.7   1.0   3   5   1.9e-08   2.1e-05   20.8   0.0   231   284   306   359   299   374 0.88 NZ_ABEL01000001.1_450 # 453979 # 456561 # -1 # ID=48_450;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABEL01000001.1:453979-456561|- -            861 854at91347           -            818     3e-39  132.7   1.0   4   5   0.00035      0.38    6.7   0.0   384   402   416   434   412   450 0.84 NZ_ABEL01000001.1_450 # 453979 # 456561 # -1 # ID=48_450;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABEL01000001.1:453979-456561|- -            861 854at91347           -            818     3e-39  132.7   1.0   5   5   1.7e-07   0.00019   17.6   0.0   483   700   548   776   479   808 0.63 NZ_ABEL01000001.1_450 # 453979 # 456561 # -1 # ID=48_450;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABEL01000008.1:183344-186178|- -            945 854at91347           -            818   1.7e-38  130.2   0.0   1   4     4e-15   4.4e-12   42.8   0.0    25   187    45   206    32   284 0.90 NZ_ABEL01000008.1_159 # 183344 # 186178 # -1 # ID=41_159;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABEL01000008.1:183344-186178|- -            945 854at91347           -            818   1.7e-38  130.2   0.0   2   4   7.7e-15   8.5e-12   41.9   0.0   236   434   308   510   304   514 0.77 NZ_ABEL01000008.1_159 # 183344 # 186178 # -1 # ID=41_159;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABEL01000008.1:183344-186178|- -            945 854at91347           -            818   1.7e-38  130.2   0.0   3   4   3.6e-10     4e-07   26.5   0.1   419   529   521   623   507   661 0.79 NZ_ABEL01000008.1_159 # 183344 # 186178 # -1 # ID=41_159;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABEL01000008.1:183344-186178|- -            945 854at91347           -            818   1.7e-38  130.2   0.0   4   4   2.5e-06    0.0028   13.7   0.1   610   698   679   778   623   782 0.83 NZ_ABEL01000008.1_159 # 183344 # 186178 # -1 # ID=41_159;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABEL01000004.1:155406-157439|+ -            678 854at91347           -            818   0.00042   16.4   0.2   1   3   3.8e-07   0.00042   16.4   0.2    36    79    13    56     2    82 0.84 NZ_ABEL01000004.1_142 # 155406 # 157439 # 1 # ID=45_142;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.549
