#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000044.1:15606-17066|+   -            487 18497at91347         -            436  6.6e-235  777.6   0.2   1   1  1.5e-237  1.4e-234  776.5   0.2     1   436     1   486     1   486 0.94 NZ_ABAO01000044.1_20 # 15606 # 17066 # 1 # ID=70_20;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.537
NZ_ABAO01000011.3:13037-14278|-   -            414 18497at91347         -            436   6.1e-42  141.7   0.0   1   1   7.9e-44   7.4e-41  138.1   0.0   103   407     7   334     3   361 0.80 NZ_ABAO01000011.3_15 # 13037 # 14278 # -1 # ID=103_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABAO01000032.3:8680-10164|+    -            495 18497at91347         -            436   4.1e-17   59.9   0.0   1   2   6.5e-09   6.1e-06   23.1   0.0   123   255    62   207    22   237 0.77 NZ_ABAO01000032.3_14 # 8680 # 10164 # 1 # ID=82_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.536
NZ_ABAO01000032.3:8680-10164|+    -            495 18497at91347         -            436   4.1e-17   59.9   0.0   2   2   1.4e-11   1.3e-08   31.9   0.0   273   412   280   436   276   452 0.79 NZ_ABAO01000032.3_14 # 8680 # 10164 # 1 # ID=82_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.536
NZ_ABAO01000050.3:21400-22755|+   -            452 18497at91347         -            436   3.5e-05   20.6   0.6   1   4      0.53     5e+02   -3.0   0.0   282   307    37    62    29    88 0.65 NZ_ABAO01000050.3_21 # 21400 # 22755 # 1 # ID=64_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NZ_ABAO01000050.3:21400-22755|+   -            452 18497at91347         -            436   3.5e-05   20.6   0.6   2   4       1.2   1.2e+03   -4.2   0.0   199   213   138   152   135   162 0.64 NZ_ABAO01000050.3_21 # 21400 # 22755 # 1 # ID=64_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NZ_ABAO01000050.3:21400-22755|+   -            452 18497at91347         -            436   3.5e-05   20.6   0.6   3   4   4.9e-05     0.046   10.3   0.0   279   330   250   301   239   308 0.89 NZ_ABAO01000050.3_21 # 21400 # 22755 # 1 # ID=64_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NZ_ABAO01000050.3:21400-22755|+   -            452 18497at91347         -            436   3.5e-05   20.6   0.6   4   4   0.00033      0.31    7.6   0.0   343   400   337   394   315   412 0.84 NZ_ABAO01000050.3_21 # 21400 # 22755 # 1 # ID=64_21;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.499
NZ_ABAO01000006.1:101510-103951|+ -            814 18497at91347         -            436   0.00094   15.9   0.0   1   1   1.8e-06    0.0017   15.1   0.0   105   218   656   775   626   805 0.80 NZ_ABAO01000006.1_94 # 101510 # 103951 # 1 # ID=108_94;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.461
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/18497at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/18497at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/18497at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:35 2026
# [ok]
