#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:3912693-3913172|- -            160 78566at91347         -            144   4.1e-73  242.1   0.1   1   1     5e-76   4.6e-73  241.9   0.1     1   143     3   157     3   158 0.92 NC_004631.1_3784 # 3912693 # 3913172 # -1 # ID=1_3784;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NC_004631.1:2288826-2289476|+ -            217 78566at91347         -            144    0.0002   19.4   0.0   1   3   5.8e-06    0.0053   14.7   0.0     2    26     8    32     7    44 0.80 NC_004631.1_2224 # 2288826 # 2289476 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.541
NC_004631.1:2288826-2289476|+ -            217 78566at91347         -            144    0.0002   19.4   0.0   2   3      0.17   1.6e+02    0.2   0.0    32    46    65    78    57    86 0.81 NC_004631.1_2224 # 2288826 # 2289476 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.541
NC_004631.1:2288826-2289476|+ -            217 78566at91347         -            144    0.0002   19.4   0.0   3   3      0.22     2e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NC_004631.1_2224 # 2288826 # 2289476 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.541
NC_004631.1:68633-69676|+     -            348 78566at91347         -            144     0.027   12.4   0.0   1   1   5.2e-05     0.048   11.6   0.0    10    64   158   213   152   262 0.68 NC_004631.1_60 # 68633 # 69676 # 1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535
NC_004631.1:4770527-4771759|+ -            411 78566at91347         -            144      0.04   11.9   0.6   1   3   0.00019      0.17    9.8   0.0     6    34    70    98    65   109 0.87 NC_004631.1_4612 # 4770527 # 4771759 # 1 # ID=1_4612;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_004631.1:4770527-4771759|+ -            411 78566at91347         -            144      0.04   11.9   0.6   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NC_004631.1_4612 # 4770527 # 4771759 # 1 # ID=1_4612;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_004631.1:4770527-4771759|+ -            411 78566at91347         -            144      0.04   11.9   0.6   3   3         1   9.4e+02   -2.3   0.0    57    77   363   383   360   387 0.80 NC_004631.1_4612 # 4770527 # 4771759 # 1 # ID=1_4612;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_004631.1:3205555-3206988|- -            478 78566at91347         -            144     0.047   11.7   0.0   1   2       3.2   2.9e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NC_004631.1_3110 # 3205555 # 3206988 # -1 # ID=1_3110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
NC_004631.1:3205555-3206988|- -            478 78566at91347         -            144     0.047   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NC_004631.1_3110 # 3205555 # 3206988 # -1 # ID=1_3110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000007545.1_ASM754v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:58 2026
# [ok]
