#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000006.1:7154-8470|-     -            439 38133at91347         -            376  5.9e-180  596.2   0.0   1   1  1.6e-182  8.7e-180  595.7   0.0     1   376     1   438     1   438 0.90 NZ_ABFG01000006.1_8 # 7154 # 8470 # -1 # ID=45_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586
NZ_ABFG01000006.1:9549-10907|-    -            453 38133at91347         -            376   1.1e-13   49.0   0.3   1   1   4.6e-12   2.6e-09   34.6   0.3    90   292   100   350    85   366 0.68 NZ_ABFG01000006.1_10 # 9549 # 10907 # -1 # ID=45_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABFG01000006.1:3252-4727|-     -            492 38133at91347         -            376     2e-12   44.9   0.0   1   2   2.4e-10   1.4e-07   28.9   0.0    53   181    74   215    18   238 0.72 NZ_ABFG01000006.1_5 # 3252 # 4727 # -1 # ID=45_5;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.562
NZ_ABFG01000006.1:3252-4727|-     -            492 38133at91347         -            376     2e-12   44.9   0.0   2   2     1e-05    0.0059   13.7   0.0   224   264   290   330   257   337 0.88 NZ_ABFG01000006.1_5 # 3252 # 4727 # -1 # ID=45_5;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.562
NZ_ABFG01000006.1:10904-12391|-   -            496 38133at91347         -            376   5.3e-10   36.9   1.7   1   3   8.5e-07   0.00048   17.3   0.2    88   130   107   149   102   153 0.92 NZ_ABFG01000006.1_11 # 10904 # 12391 # -1 # ID=45_11;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABFG01000006.1:10904-12391|-   -            496 38133at91347         -            376   5.3e-10   36.9   1.7   2   3   4.9e-07   0.00027   18.1   0.0   138   198   182   246   157   262 0.83 NZ_ABFG01000006.1_11 # 10904 # 12391 # -1 # ID=45_11;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABFG01000006.1:10904-12391|-   -            496 38133at91347         -            376   5.3e-10   36.9   1.7   3   3      0.79   4.4e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NZ_ABFG01000006.1_11 # 10904 # 12391 # -1 # ID=45_11;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NZ_ABFG01000007.1:71579-72997|-   -            473 38133at91347         -            376   0.00013   19.2   0.0   1   2   3.4e-05     0.019   12.0   0.0     5    38   145   178   142   186 0.91 NZ_ABFG01000007.1_63 # 71579 # 72997 # -1 # ID=44_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABFG01000007.1:71579-72997|-   -            473 38133at91347         -            376   0.00013   19.2   0.0   2   2    0.0045       2.5    5.0   0.0     4    32   285   313   282   332 0.82 NZ_ABFG01000007.1_63 # 71579 # 72997 # -1 # ID=44_63;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NZ_ABFG01000006.1:341398-342777|- -            460 38133at91347         -            376   0.00021   18.4   0.0   1   2     0.018        10    3.0   0.0    91   120   104   133    95   192 0.83 NZ_ABFG01000006.1_304 # 341398 # 342777 # -1 # ID=45_304;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.590
NZ_ABFG01000006.1:341398-342777|- -            460 38133at91347         -            376   0.00021   18.4   0.0   2   2   1.9e-05     0.011   12.8   0.0   217   288   270   346   252   356 0.85 NZ_ABFG01000006.1_304 # 341398 # 342777 # -1 # ID=45_304;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.590
