#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:1043716-1044684|- -            323 58708at91347         -            281  1.9e-151  501.0   0.2   1   1  2.4e-153  9.8e-151  498.7   0.2     1   280     5   316     5   317 0.93 NC_011094.1_993 # 1043716 # 1044684 # -1 # ID=1_993;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.548
NC_011094.1:744579-746144|+   -            522 58708at91347         -            281     3e-55  185.4   0.6   1   1   2.6e-57   1.1e-54  183.6   0.6     4   278   214   515   211   518 0.85 NC_011094.1_714 # 744579 # 746144 # 1 # ID=1_714;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.550
NC_011094.1:3652566-3653918|+ -            451 58708at91347         -            281   1.1e-07   29.4   2.2   1   2      0.98   4.1e+02   -2.0   0.2     2    42     4    44     3    49 0.82 NC_011094.1_3462 # 3652566 # 3653918 # 1 # ID=1_3462;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
NC_011094.1:3652566-3653918|+ -            451 58708at91347         -            281   1.1e-07   29.4   2.2   2   2   6.1e-10   2.5e-07   28.2   0.1    70   254   107   306    81   319 0.71 NC_011094.1_3462 # 3652566 # 3653918 # 1 # ID=1_3462;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
NC_011094.1:180891-182315|+   -            475 58708at91347         -            281   1.7e-07   28.7   3.3   1   2   7.3e-06     0.003   14.8   0.1     2    35     6    39     5    52 0.86 NC_011094.1_151 # 180891 # 182315 # 1 # ID=1_151;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:180891-182315|+   -            475 58708at91347         -            281   1.7e-07   28.7   3.3   2   2   1.6e-05    0.0067   13.7   0.7   137   254   178   316   173   325 0.64 NC_011094.1_151 # 180891 # 182315 # 1 # ID=1_151;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:3398126-3399544|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   1   3    0.0021      0.87    6.7   0.0     3    40   147   185   145   190 0.81 NC_011094.1_3214 # 3398126 # 3399544 # 1 # ID=1_3214;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.570
NC_011094.1:3398126-3399544|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   2   3      0.11        45    1.1   0.0   134   149   287   302   281   324 0.72 NC_011094.1_3214 # 3398126 # 3399544 # 1 # ID=1_3214;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.570
NC_011094.1:3398126-3399544|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   3   3    0.0011      0.43    7.7   0.0   205   278   393   470   380   472 0.70 NC_011094.1_3214 # 3398126 # 3399544 # 1 # ID=1_3214;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.570
NC_011092.1:41334-43028|-     -            565 58708at91347         -            281   0.00097   16.4   4.3   1   2     0.048        20    2.3   0.4   137   165   100   128    97   143 0.63 NC_011092.1_41 # 41334 # 43028 # -1 # ID=2_41;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.651
NC_011092.1:41334-43028|-     -            565 58708at91347         -            281   0.00097   16.4   4.3   2   2   2.6e-05     0.011   13.0   0.3   136   273   271   427   231   430 0.64 NC_011092.1_41 # 41334 # 43028 # -1 # ID=2_41;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.651
NC_011094.1:1204727-1205845|- -            373 58708at91347         -            281    0.0022   15.3   0.1   1   1   9.2e-06    0.0038   14.5   0.1     3    31     3    31     1    44 0.86 NC_011094.1_1135 # 1204727 # 1205845 # -1 # ID=1_1135;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
NC_011094.1:3293782-3295800|+ -            673 58708at91347         -            281    0.0024   15.1   0.5   1   3       3.5   1.4e+03   -3.8   0.0    17    56    41    84    37   104 0.54 NC_011094.1_3111 # 3293782 # 3295800 # 1 # ID=1_3111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.584
NC_011094.1:3293782-3295800|+ -            673 58708at91347         -            281    0.0024   15.1   0.5   2   3   7.4e-05     0.031   11.5   0.0     2    46   374   419   373   455 0.82 NC_011094.1_3111 # 3293782 # 3295800 # 1 # ID=1_3111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.584
NC_011094.1:3293782-3295800|+ -            673 58708at91347         -            281    0.0024   15.1   0.5   3   3      0.11        45    1.1   0.0   135   155   496   516   494   523 0.81 NC_011094.1_3111 # 3293782 # 3295800 # 1 # ID=1_3111;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.584
NC_011094.1:3521344-3523887|+ -            848 58708at91347         -            281     0.011   13.0   0.0   1   2    0.0001     0.042   11.1   0.0    88   173    96   184    70   198 0.84 NC_011094.1_3352 # 3521344 # 3523887 # 1 # ID=1_3352;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NC_011094.1:3521344-3523887|+ -            848 58708at91347         -            281     0.011   13.0   0.0   2   2         1   4.2e+02   -2.1   0.0    63   106   203   246   186   277 0.75 NC_011094.1_3352 # 3521344 # 3523887 # 1 # ID=1_3352;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.566
NC_011094.1:2301859-2303100|+ -            414 58708at91347         -            281     0.013   12.7   2.0   1   2     0.017       7.1    3.7   0.0     4    20   126   142   123   165 0.79 NC_011094.1_2224 # 2301859 # 2303100 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
NC_011094.1:2301859-2303100|+ -            414 58708at91347         -            281     0.013   12.7   2.0   2   2   0.00076      0.31    8.2   0.6   205   280   339   409   246   410 0.79 NC_011094.1_2224 # 2301859 # 2303100 # 1 # ID=1_2224;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
NC_011094.1:3957909-3959798|- -            630 58708at91347         -            281     0.021   12.1   0.4   1   2   0.00013     0.054   10.7   0.3     4    41     8    46     6    55 0.84 NC_011094.1_3737 # 3957909 # 3959798 # -1 # ID=1_3737;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
NC_011094.1:3957909-3959798|- -            630 58708at91347         -            281     0.021   12.1   0.4   2   2         3   1.2e+03   -3.6   0.0   243   275   362   392   334   394 0.71 NC_011094.1_3737 # 3957909 # 3959798 # -1 # ID=1_3737;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58708at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/58708at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/58708at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:26 2026
# [ok]
