#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:3796710-3797189|+ -            160 78566at91347         -            144   2.9e-73  242.5   0.1   1   1   3.5e-76   3.2e-73  242.4   0.1     1   143     3   157     3   158 0.92 NC_011094.1_3583 # 3796710 # 3797189 # 1 # ID=1_3583;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NC_011094.1:780159-780809|-   -            217 78566at91347         -            144   5.1e-05   21.3   0.0   1   3   5.8e-06    0.0052   14.7   0.0     2    26     8    32     7    44 0.80 NC_011094.1_751 # 780159 # 780809 # -1 # ID=1_751;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NC_011094.1:780159-780809|-   -            217 78566at91347         -            144   5.1e-05   21.3   0.0   2   3     0.037        34    2.4   0.0    32    47    65    79    57    87 0.82 NC_011094.1_751 # 780159 # 780809 # -1 # ID=1_751;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NC_011094.1:780159-780809|-   -            217 78566at91347         -            144   5.1e-05   21.3   0.0   3   3      0.22     2e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NC_011094.1_751 # 780159 # 780809 # -1 # ID=1_751;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.538
NC_011094.1:68634-69677|+     -            348 78566at91347         -            144     0.027   12.4   0.0   1   1   5.2e-05     0.047   11.6   0.0    10    64   158   213   152   262 0.68 NC_011094.1_57 # 68634 # 69677 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.534
NC_011094.1:4687451-4688683|+ -            411 78566at91347         -            144      0.04   11.9   0.6   1   3   0.00019      0.17    9.8   0.0     6    34    70    98    65   109 0.87 NC_011094.1_4404 # 4687451 # 4688683 # 1 # ID=1_4404;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.508
NC_011094.1:4687451-4688683|+ -            411 78566at91347         -            144      0.04   11.9   0.6   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NC_011094.1_4404 # 4687451 # 4688683 # 1 # ID=1_4404;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.508
NC_011094.1:4687451-4688683|+ -            411 78566at91347         -            144      0.04   11.9   0.6   3   3      0.98   8.9e+02   -2.2   0.0    57    77   363   383   359   387 0.81 NC_011094.1_4404 # 4687451 # 4688683 # 1 # ID=1_4404;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.508
NC_011094.1:3270107-3271540|- -            478 78566at91347         -            144     0.046   11.7   0.0   1   2       3.2   2.9e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NC_011094.1_3093 # 3270107 # 3271540 # -1 # ID=1_3093;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NC_011094.1:3270107-3271540|- -            478 78566at91347         -            144     0.046   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NC_011094.1_3093 # 3270107 # 3271540 # -1 # ID=1_3093;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000020745.1_ASM2074v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:27 2026
# [ok]
