# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	sorf	169	255	+	HFCAGB_00001	thrL	thr operon leader peptide	GO:0009088, GO:0031556, SO:0001217, UniParc:UPI0001B97032, UniRef:UniRef100_Q7CRA3, UniRef:UniRef50_Q7CRA3, UniRef:UniRef90_Q7CRA3
contig_1	ncRNA-region	191	311	+			Threonine operon leader	RFAM:RF00506, SO:0000140
contig_1	cds	337	2799	+	HFCAGB_00002	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	COG:COG0527, COG:E, EC:1.1.1.3, EC:2.7.2.4, GO:0004072, GO:0004412, GO:0005524, GO:0008652, GO:0009067, GO:0009086, GO:0009088, GO:0009089, GO:0009090, GO:0042802, GO:0046872, GO:0050661, GO:0051289, GO:0070403, KEGG:K12524, RefSeq:WP_001264674.1, SO:0001217, UniParc:UPI00016A0383, UniRef:UniRef100_A0A3Y2QR81, UniRef:UniRef50_P00561, UniRef:UniRef90_P00561
contig_1	cds	2801	3730	+	HFCAGB_00003	thrB	homoserine kinase	COG:COG0083, COG:E, EC:2.7.1.39, GO:0004413, GO:0005524, GO:0005737, GO:0009088, KEGG:K00872, RefSeq:WP_000241691.1, SO:0001217, UniParc:UPI00016A0384, UniRef:UniRef100_B5FH97, UniRef:UniRef50_P00547, UniRef:UniRef90_P00547
contig_1	cds	3734	5020	+	HFCAGB_00004	thrC	threonine synthase	COG:COG0498, COG:E, EC:4.2.3.1, GO:0004795, GO:0005829, GO:0009088, GO:0030170, KEGG:K01733, RefSeq:WP_000781099.1, SO:0001217, UniParc:UPI00016A0385, UniRef:UniRef100_A0A3U2N0J1, UniRef:UniRef50_P00934, UniRef:UniRef90_P00934
contig_1	cds	5114	5887	-	HFCAGB_00005	yaaA	peroxide stress protein YaaA	GO:0005829, GO:0033194, KEGG:K09861, RefSeq:WP_000906175.1, SO:0001217, UniParc:UPI00000CCE01, UniRef:UniRef100_Q8ZS17, UniRef:UniRef50_P0A8I3, UniRef:UniRef90_Q8ZS17
contig_1	cds	5966	7396	-	HFCAGB_00006		Amino acid carrier protein	KEGG:K03310, RefSeq:WP_001113807.1, SO:0001217, UniParc:UPI00016A05B3, UniRef:UniRef100_B5F6Y1, UniRef:UniRef50_P30143, UniRef:UniRef90_A9MR83
contig_1	cds	7665	8618	+	HFCAGB_00007	tal	transaldolase B	BlastRules:WP_000130175, COG:COG0176, COG:G, EC:2.2.1.2, GO:0004801, GO:0005737, GO:0005829, GO:0005975, GO:0006098, GO:0009052, RefSeq:WP_000130175.1, SO:0001217, UniParc:UPI0000059968, UniRef:UniRef100_P66955, UniRef:UniRef50_P0A870, UniRef:UniRef90_P66955
contig_1	cds	8729	9319	+	HFCAGB_00008	mog	molybdopterin adenylyltransferase	COG:COG0521, COG:H, EC:2.7.7.75, GO:0006777, RefSeq:WP_000380373.1, SO:0001217, UniParc:UPI00004F7806, UniRef:UniRef100_A0A617SND3, UniRef:UniRef50_P0AF03, UniRef:UniRef90_A0A5H9IUB0
contig_1	cds	9376	9942	-	HFCAGB_00009	satP	acetate uptake transporter	COG:C, COG:COG1584, GO:0016020, RefSeq:WP_000528525.1, SO:0001217, UniParc:UPI0001604820, UniRef:UniRef100_A0A5X1Z3X5, UniRef:UniRef50_A0A4Y3TW80, UniRef:UniRef90_A8ALU5
contig_1	cds	10092	10805	-	HFCAGB_00010	msyB	acidic protein MsyB	RefSeq:WP_001103477.1, SO:0001217, UniParc:UPI000005996B, UniRef:UniRef100_Q7CRA1, UniRef:UniRef50_P58316, UniRef:UniRef90_A0A4Z0NX17
contig_1	cds	10841	11245	-	HFCAGB_00011	yaaI	DUF2541 domain-containing protein	RefSeq:WP_001258084.1, SO:0001217, UniParc:UPI000169E899, UniRef:UniRef100_B5F6Y6, UniRef:UniRef50_Q32KA6, UniRef:UniRef90_Q8ZS14
contig_1	cds	11594	13510	+	HFCAGB_00012	dnaK	molecular chaperone DnaK	COG:COG0443, COG:O, GO:0005524, GO:0005829, GO:0006260, GO:0006457, GO:0016887, GO:0031072, GO:0042026, GO:0044183, GO:0051082, GO:0051085, GO:0140662, RefSeq:WP_000516125.1, SO:0001217, UniParc:UPI0000162244, UniRef:UniRef100_Q56073, UniRef:UniRef50_P0A6Y8, UniRef:UniRef90_P0A6Y8
contig_1	ncRNA	13521	13595	+	HFCAGB_00013	tpke11	tpke11	RFAM:RF02031, SO:0000655
contig_1	cds	13596	14735	+	HFCAGB_00014	dnaJ	molecular chaperone DnaJ	COG:COG0484, COG:O, EC:1.8.4.-, GO:0005515, GO:0005524, GO:0005737, GO:0006260, GO:0006457, GO:0008270, GO:0009408, GO:0031072, GO:0042026, GO:0051082, GO:0051085, RefSeq:WP_001119009.1, SO:0001217, UniParc:UPI000005996E, UniRef:UniRef100_P0A1G7, UniRef:UniRef50_P08622, UniRef:UniRef90_P08622
contig_1	cds	14682	14822	-	HFCAGB_00015		hypothetical protein	RefSeq:WP_186791146.1, SO:0001217, UniParc:UPI0003E4F726, UniRef:UniRef100_A0A2X5CBS9, UniRef:UniRef50_A0A2X5CBS9, UniRef:UniRef90_A0A2X5CBS9
contig_1	cds	15016	15963	+	HFCAGB_00016		HTH lysR-type domain-containing protein	RefSeq:WP_000534911.1, SO:0001217, UniParc:UPI000169E89B, UniRef:UniRef100_G5LIG3, UniRef:UniRef50_A0A0L0AFF1, UniRef:UniRef90_A9MR75
contig_1	cds	16090	16434	+	HFCAGB_00017		Bacteriophage protein	RefSeq:WP_000026889.1, SO:0001217, UniParc:UPI00000CCE06, UniRef:UniRef100_Q8ZS12, UniRef:UniRef50_A0A0H3FW56, UniRef:UniRef90_A0A5Y2QLK6
contig_1	cds	16495	17028	-	HFCAGB_00018		Glycoside hydrolase family 108 protein	RefSeq:WP_001068132.1, SO:0001217, UniParc:UPI00000CCE07, UniRef:UniRef100_Q8ZS11, UniRef:UniRef50_A0AAC8ZLQ2, UniRef:UniRef90_A0A5V7M887
contig_1	cds	17045	17488	-	HFCAGB_00019		OmpR/PhoB-type domain-containing protein	RefSeq:WP_000860681.1, SO:0001217, UniParc:UPI0000059972, UniRef:UniRef100_A0A4Z0L5G7, UniRef:UniRef50_Q8ZS10, UniRef:UniRef90_A9MR72
contig_1	cds	17869	19968	+	HFCAGB_00020		chitinase	RefSeq:WP_000235796.1, SO:0001217, UniParc:UPI00016A1310, UniRef:UniRef100_A0A3Z0Y1E6, UniRef:UniRef50_A0A0L0AFP7, UniRef:UniRef90_A0A7D8IPY7
contig_1	cds	20060	23056	+	HFCAGB_00021		Putative hydroxymethyltransferase	RefSeq:WP_000155795.1, SO:0001217, UniParc:UPI00016A1311, UniRef:UniRef100_A0A3Z2MXQ8, UniRef:UniRef50_A0A379QNJ4, UniRef:UniRef90_A0A379SGW2
contig_1	cds	23337	24041	+	HFCAGB_00022	iprA	IprA winged helix-turn-helix domain-containing protein	RefSeq:WP_000738617.1, SO:0001217, UniParc:UPI00000CCE0B, UniRef:UniRef100_Q8ZS07, UniRef:UniRef50_E3G2G5, UniRef:UniRef90_A9MR70
contig_1	cds	24471	25013	+	HFCAGB_00023	bcfA	fimbrial protein BcfA	RefSeq:WP_000743357.1, SO:0001217, UniParc:UPI00000D010D, UniRef:UniRef100_H9L412, UniRef:UniRef50_A9MR69, UniRef:UniRef90_A9MR69
contig_1	cds	25114	25800	+	HFCAGB_00024	bcfB	fimbrial biogenesis chaperone BcfB	BlastRules:WP_000742551, RefSeq:WP_000742558.1, SO:0001217, UniParc:UPI00016A1313, UniRef:UniRef100_A0A6C6ZW37, UniRef:UniRef50_A9MR68, UniRef:UniRef90_A9MR68
contig_1	cds	25805	28426	+	HFCAGB_00025	bcfC	fimbrial usher BcfC	BlastRules:WP_001245864, GO:0005515, GO:0009297, GO:0015473, GO:0016020, KEGG:K07347, RefSeq:WP_001245857.1, SO:0001217, UniParc:UPI00016A1314, UniRef:UniRef100_A0A3T4H7B1, UniRef:UniRef50_A0A5U2F4X5, UniRef:UniRef90_A0A5U2F4X5
contig_1	cds	28427	29434	+	HFCAGB_00026	bcfD	fimbrial protein BcfD	KEGG:K07356, RefSeq:WP_000701234.1, SO:0001217, UniParc:UPI00016A1549, UniRef:UniRef100_A0A3Y2QQZ0, UniRef:UniRef50_A9MR66, UniRef:UniRef90_Q8ZS05
contig_1	cds	29435	29980	+	HFCAGB_00027	bcfE	fimbrial protein BcfE	RefSeq:WP_001082038.1, SO:0001217, UniParc:UPI00004F7811, UniRef:UniRef100_A0A659Q8F9, UniRef:UniRef50_A9MR65, UniRef:UniRef90_A9MR65
contig_1	cds	29996	30514	+	HFCAGB_00028	bcfF	fimbrial protein BcfF	RefSeq:WP_001243232.1, SO:0001217, UniParc:UPI00000D01F0, UniRef:UniRef100_H9L4A8, UniRef:UniRef50_A9MR64, UniRef:UniRef90_A0A379V193
contig_1	cds	30480	31211	+	HFCAGB_00029	bcfG	fimbrial chaperone BcfG	BlastRules:WP_001135039, RefSeq:WP_001135047.1, SO:0001217, UniParc:UPI0004A83A6B, UniRef:UniRef100_A0A3Z2MXY5, UniRef:UniRef50_A0A6D2GD24, UniRef:UniRef90_A0A0T9XIA4
contig_1	cds	31275	32120	+	HFCAGB_00030		Thiol-disulfide isomerase	RefSeq:WP_000291392.1, SO:0001217, UniParc:UPI00000CCE0F, UniRef:UniRef100_Q8ZS03, UniRef:UniRef50_A0AAN3RST5, UniRef:UniRef90_Q8ZS03
contig_1	cds	32159	32446	+	HFCAGB_00031		Thioredoxin domain-containing protein	RefSeq:WP_000839833.1, SO:0001217, UniParc:UPI000048E9A0, UniRef:UniRef100_Q9RH97, UniRef:UniRef50_Q9RH97, UniRef:UniRef90_Q9RH97
contig_1	cds	32546	32995	-	HFCAGB_00032		Transcription regulator	RefSeq:WP_001250363.1, SO:0001217, UniParc:UPI000005997F, UniRef:UniRef100_A0A5W9F8F0, UniRef:UniRef50_A9MR60, UniRef:UniRef90_Q8ZS02
contig_1	cds	33365	34369	+	HFCAGB_00033	lysR	LysR family transcriptional regulator	RefSeq:WP_001247392.1, SO:0001217, UniParc:UPI00016A0A2B, UniRef:UniRef100_A0A3R0E595, UniRef:UniRef50_A9MR59, UniRef:UniRef90_Q8ZS01
contig_1	cds	34377	34817	-	HFCAGB_00034		Transcriptional regulator	RefSeq:WP_000158346.1, SO:0001217, UniParc:UPI00016A0A2C, UniRef:UniRef100_A0A5W9F8S2, UniRef:UniRef50_A9MR58, UniRef:UniRef90_A0A6C7D2G8
contig_1	cds	35340	37058	+	HFCAGB_00035		Arylsulfotransferase N-terminal domain-containing protein	EC:2.8.2.22, KEGG:K01023, RefSeq:WP_001036511.1, SO:0001217, UniParc:UPI00016A0A2E, UniRef:UniRef100_A0A3U7XT51, UniRef:UniRef50_A9MR51, UniRef:UniRef90_A9MR57
