#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:4172494-4173015|+ -            174 72355at91347         -            140     1e-79  263.4   0.3   1   1   3.4e-82   1.6e-79  262.8   0.3     1   140     1   150     1   150 0.96 NC_004631.1_4013 # 4172494 # 4173015 # 1 # ID=1_4013;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.504
NC_004631.1:2548222-2548767|- -            182 72355at91347         -            140   5.4e-20   69.8   0.0   1   1   2.1e-22   9.7e-20   69.0   0.0     7   136     5   145     2   149 0.76 NC_004631.1_2481 # 2548222 # 2548767 # -1 # ID=1_2481;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_004631.1:3630613-3631944|+ -            444 72355at91347         -            140   0.00067   17.7   0.0   1   2   4.3e-06     0.002   16.1   0.0     5    35    51    81    47   129 0.90 NC_004631.1_3507 # 3630613 # 3631944 # 1 # ID=1_3507;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NC_004631.1:3630613-3631944|+ -            444 72355at91347         -            140   0.00067   17.7   0.0   2   2       2.8   1.3e+03   -2.7   0.0    82   103   348   369   336   406 0.63 NC_004631.1_3507 # 3630613 # 3631944 # 1 # ID=1_3507;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.528
NC_004631.1:2133584-2135320|+ -            579 72355at91347         -            140   0.00075   17.5   1.0   1   2    0.0003      0.14   10.1   0.1     9    29    38    58    34    61 0.92 NC_004631.1_2076 # 2133584 # 2135320 # 1 # ID=1_2076;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_004631.1:2133584-2135320|+ -            579 72355at91347         -            140   0.00075   17.5   1.0   2   2    0.0082       3.8    5.5   0.1     4    24   354   375   351   381 0.79 NC_004631.1_2076 # 2133584 # 2135320 # 1 # ID=1_2076;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_004631.1:2483597-2484868|- -            424 72355at91347         -            140    0.0014   16.7   0.0   1   1   6.2e-06    0.0029   15.6   0.0     4    44   112   152   109   168 0.84 NC_004631.1_2414 # 2483597 # 2484868 # -1 # ID=1_2414;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.531
NC_004631.1:4118530-4119063|+ -            178 72355at91347         -            140     0.006   14.6   0.0   1   1   2.4e-05     0.011   13.7   0.0     7    36    11    40     5    53 0.87 NC_004631.1_3972 # 4118530 # 4119063 # 1 # ID=1_3972;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.528
NC_004631.1:1917861-1919768|- -            636 72355at91347         -            140    0.0071   14.4   0.0   1   2    0.0065         3    5.8   0.0     4    26    29    51    26    64 0.85 NC_004631.1_1862 # 1917861 # 1919768 # -1 # ID=1_1862;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_004631.1:1917861-1919768|- -            636 72355at91347         -            140    0.0071   14.4   0.0   2   2    0.0073       3.4    5.7   0.0     6    29   347   370   342   416 0.83 NC_004631.1_1862 # 1917861 # 1919768 # -1 # ID=1_1862;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_004631.1:2044404-2046680|- -            759 72355at91347         -            140      0.01   13.9   0.1   1   3      0.14        63    1.6   0.0     3    26   206   229   204   235 0.86 NC_004631.1_1990 # 2044404 # 2046680 # -1 # ID=1_1990;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.541
