Gene,Non-unique Gene name,Annotation,GCF_000007545.1_ASM754v1_genomic,GCF_000020745.1_ASM2074v1_genomic,GCF_000020885.1_ASM2088v1_genomic,GCF_000020925.1_ASM2092v1_genomic,GCF_000022165.1_ASM2216v1_genomic,GCF_000170215.1_ASM17021v1_genomic,GCF_000170255.1_ASM17025v1_genomic,GCF_000171255.1_ASM17125v1_genomic,GCF_000171275.1_ASM17127v1_genomic,GCF_000171315.1_ASM17131v1_genomic,GCF_000171415.1_ASM17141v1_genomic,GCF_000171515.1_ASM17151v1_genomic,GCF_000171535.2_ASM17153v2_genomic
group_3761,,hypothetical protein,0_refound_19,1_refound_49,2_refound_75,3_refound_110,4_refound_151,5_refound_192,6_refound_242,7_refound_289,8_refound_323,9_refound_371,10_refound_404,11_refound_449,ONMMKP_03741
group_3758,,hypothetical protein,0_refound_16,1_refound_42_pseudo,2_refound_67_pseudo,3_refound_100_pseudo,4_refound_141_pseudo,5_refound_181_pseudo,6_refound_231_pseudo,7_refound_284_pseudo,PAPNPA_02228,9_refound_364_pseudo,10_refound_397_pseudo,11_refound_443_pseudo,12_refound_478_pseudo
group_3698,,Cytochrome c-type biogenesis protein,GEGEGB_00664,LNHIMF_02382,BEJGEH_03868,HFCAGB_04064,AJBGEP_02416,ODDLKH_02751,OEKLIE_02419,ALJMDI_02237,PAPNPA_04374,BENMGJ_02614,IKCLMC_01753,PKJKAM_03548,ONMMKP_04599
eutM~~~eutN,eutM;eutN,ethanolamine utilization microcompartment protein EutM;ethanolamine utilization microcompartment protein EutN,GEGEGB_00431,LNHIMF_02601,BEJGEH_02492;BEJGEH_02493,HFCAGB_02739;HFCAGB_02738,AJBGEP_02640;AJBGEP_02639,ODDLKH_02975;ODDLKH_02974,OEKLIE_03107;OEKLIE_03108,ALJMDI_01695;ALJMDI_01696,PAPNPA_02061;PAPNPA_02062,BENMGJ_01712;BENMGJ_01713,IKCLMC_01316;IKCLMC_01317,PKJKAM_02802;PKJKAM_02803,ONMMKP_04378;ONMMKP_04377
gatY,gatY,tagatose bisphosphate family class II aldolase,GEGEGB_03343,LNHIMF_03306,BEJGEH_03280,HFCAGB_03484,AJBGEP_03434,ODDLKH_03692,OEKLIE_04339,ALJMDI_03031,PAPNPA_02373,BENMGJ_01974,IKCLMC_03598,PKJKAM_01776,ONMMKP_03583
group_3652,,Arylsulfatase,GEGEGB_00040,LNHIMF_00037,BEJGEH_00038,HFCAGB_00038,AJBGEP_00037,ODDLKH_00513,OEKLIE_04623,ALJMDI_04059,PAPNPA_03527,BENMGJ_00691,IKCLMC_03172,PKJKAM_02068,ONMMKP_02146
group_3631,,anaerobic sulfatase maturase,GEGEGB_00041,LNHIMF_00038,BEJGEH_00039,HFCAGB_00039,AJBGEP_00038,ODDLKH_00514,OEKLIE_04624,ALJMDI_04060,PAPNPA_03528,BENMGJ_00690,IKCLMC_03171,PKJKAM_02067,ONMMKP_02145
group_3618,,IS1 family transposase;Cytoplasmic protein,GEGEGB_00042,LNHIMF_00039,BEJGEH_00040,HFCAGB_00040,AJBGEP_00039,ODDLKH_00515,OEKLIE_04625,ALJMDI_04061,PAPNPA_03529,BENMGJ_00689,IKCLMC_03170,PKJKAM_02066,ONMMKP_02144
ratB,;ratB,Outer membrane protein;Putative outer membrane protein;adhesion domain-containing protein;Immunoglobulin-like domain BIg-containing protein;putative outer membrane protein;DUF823 DUF824 domains-containing protein,GEGEGB_00377_len;GEGEGB_00375_len;GEGEGB_00374;GEGEGB_00376,LNHIMF_02652_len;LNHIMF_02651_len,BEJGEH_02545,HFCAGB_02791_len,AJBGEP_02690_len;AJBGEP_02689,ODDLKH_03022_len,OEKLIE_03157;OEKLIE_03158_len,ALJMDI_01641_len,PAPNPA_02129,BENMGJ_01760_len,IKCLMC_01267_len,PKJKAM_02752;PKJKAM_02751,ONMMKP_04326;ONMMKP_04327
group_3613,;ratA,RatA-like protein;DUF823 DUF824 domains-containing protein;Outer membrane protein;Exported protein (RatA),GEGEGB_00373,LNHIMF_02653,BEJGEH_02546,HFCAGB_02792;HFCAGB_02793,AJBGEP_02691,ODDLKH_03023,OEKLIE_03159,ALJMDI_01640,PAPNPA_02130,BENMGJ_01761,IKCLMC_01266,PKJKAM_02750,ONMMKP_04325
