#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:4655990-4658845|- -            952 854at91347           -            818         0 1434.5   0.0   1   1         0         0 1433.8   0.0     1   814     1   932     1   935 0.91 NC_004631.1_4501 # 4655990 # 4658845 # -1 # ID=1_4501;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.566
NC_004631.1:2284615-2287197|+ -            861 854at91347           -            818   9.7e-39  131.1   1.3   1   5   1.1e-23   1.3e-20   71.1   0.1     1   179     1   169     1   178 0.82 NC_004631.1_2221 # 2284615 # 2287197 # 1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_004631.1:2284615-2287197|+ -            861 854at91347           -            818   9.7e-39  131.1   1.3   2   5   0.00072      0.83    5.6   0.1   152   224   196   266   179   303 0.74 NC_004631.1_2221 # 2284615 # 2287197 # 1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_004631.1:2284615-2287197|+ -            861 854at91347           -            818   9.7e-39  131.1   1.3   3   5   1.9e-08   2.2e-05   20.8   0.0   231   284   306   359   299   374 0.88 NC_004631.1_2221 # 2284615 # 2287197 # 1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_004631.1:2284615-2287197|+ -            861 854at91347           -            818   9.7e-39  131.1   1.3   4   5   0.00035       0.4    6.7   0.0   384   402   416   434   412   450 0.84 NC_004631.1_2221 # 2284615 # 2287197 # 1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_004631.1:2284615-2287197|+ -            861 854at91347           -            818   9.7e-39  131.1   1.3   5   5   1.7e-07    0.0002   17.6   0.0   483   700   548   776   479   808 0.63 NC_004631.1_2221 # 2284615 # 2287197 # 1 # ID=1_2221;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_004631.1:53852-56686|+     -            945 854at91347           -            818   1.4e-38  130.5   0.0   1   4   3.6e-15   4.1e-12   43.0   0.0    25   187    45   206    35   291 0.87 NC_004631.1_48 # 53852 # 56686 # 1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:53852-56686|+     -            945 854at91347           -            818   1.4e-38  130.5   0.0   2   4   7.7e-15   8.9e-12   41.9   0.0   236   434   308   510   304   514 0.77 NC_004631.1_48 # 53852 # 56686 # 1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:53852-56686|+     -            945 854at91347           -            818   1.4e-38  130.5   0.0   3   4   3.6e-10   4.1e-07   26.5   0.1   419   529   521   623   507   661 0.79 NC_004631.1_48 # 53852 # 56686 # 1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:53852-56686|+     -            945 854at91347           -            818   1.4e-38  130.5   0.0   4   4   2.5e-06    0.0029   13.7   0.1   610   698   679   778   623   782 0.83 NC_004631.1_48 # 53852 # 56686 # 1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
NC_004631.1:786583-788616|-   -            678 854at91347           -            818   0.00044   16.4   0.2   1   3   3.8e-07   0.00044   16.4   0.2    36    79    13    56     2    82 0.84 NC_004631.1_705 # 786583 # 788616 # -1 # ID=1_705;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.550
