#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:2034344-2035312|+ -            323 58708at91347         -            281  2.3e-151  500.8   0.2   1   1  2.6e-153  1.2e-150  498.4   0.2     1   280     5   316     5   317 0.93 NC_004631.1_1980 # 2034344 # 2035312 # 1 # ID=1_1980;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.547
NC_004631.1:2324165-2325730|- -            522 58708at91347         -            281   4.2e-55  185.0   0.6   1   1   3.2e-57   1.5e-54  183.2   0.6     4   278   214   515   211   518 0.85 NC_004631.1_2261 # 2324165 # 2325730 # -1 # ID=1_2261;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.552
NC_004631.1:4054874-4056226|- -            451 58708at91347         -            281   9.2e-08   29.6   1.4   1   2      0.89   4.1e+02   -2.0   0.2     2    42     4    44     3    49 0.82 NC_004631.1_3909 # 4054874 # 4056226 # -1 # ID=1_3909;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:4054874-4056226|- -            451 58708at91347         -            281   9.2e-08   29.6   1.4   2   2   7.2e-10   3.3e-07   27.8   0.1    69   255   106   307    72   319 0.71 NC_004631.1_3909 # 4054874 # 4056226 # -1 # ID=1_3909;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554
NC_004631.1:184147-185571|+   -            475 58708at91347         -            281   1.3e-07   29.2   3.3   1   2     5e-06    0.0023   15.2   0.1     2    36     6    40     5    53 0.86 NC_004631.1_160 # 184147 # 185571 # 1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_004631.1:184147-185571|+   -            475 58708at91347         -            281   1.3e-07   29.2   3.3   2   2   1.5e-05    0.0068   13.7   0.7   137   254   178   316   173   325 0.64 NC_004631.1_160 # 184147 # 185571 # 1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.540
NC_004631.1:3339008-3340426|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   1   3    0.0019      0.88    6.7   0.0     3    40   147   185   145   190 0.81 NC_004631.1_3241 # 3339008 # 3340426 # 1 # ID=1_3241;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:3339008-3340426|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   2   3     0.099        46    1.1   0.0   134   149   287   302   281   324 0.72 NC_004631.1_3241 # 3339008 # 3340426 # 1 # ID=1_3241;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:3339008-3340426|+ -            473 58708at91347         -            281   0.00013   19.3   0.2   3   3   0.00095      0.44    7.7   0.0   205   278   393   470   380   472 0.70 NC_004631.1_3241 # 3339008 # 3340426 # 1 # ID=1_3241;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:3230347-3231045|+ -            233 58708at91347         -            281   0.00022   18.5   0.1   1   2   1.5e-05    0.0068   13.7   0.0     2    46     9    54     8    89 0.83 NC_004631.1_3129 # 3230347 # 3231045 # 1 # ID=1_3129;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
NC_004631.1:3230347-3231045|+ -            233 58708at91347         -            281   0.00022   18.5   0.1   2   2     0.027        13    2.9   0.0   135   155   131   151   129   158 0.81 NC_004631.1_3129 # 3230347 # 3231045 # 1 # ID=1_3129;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
