"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000170255.1_ASM17025v1_genomic","GCF_000171255.1_ASM17125v1_genomic","GCF_000171275.1_ASM17127v1_genomic","GCF_000171315.1_ASM17131v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"group_100","","","13","13","1","11","6865","","","","473","473","473","GCF_000007545.1_ASM754v1_genomic_16320","GCF_000020745.1_ASM2074v1_genomic_4700","GCF_000020885.1_ASM2088v1_genomic_16082","GCF_000020925.1_ASM2092v1_genomic_11909","GCF_000022165.1_ASM2216v1_genomic_30942","GCF_000170215.1_ASM17021v1_genomic_34308","GCF_000170255.1_ASM17025v1_genomic_30679","GCF_000171255.1_ASM17125v1_genomic_32818","GCF_000171275.1_ASM17127v1_genomic_37041","GCF_000171315.1_ASM17131v1_genomic_4515","GCF_000171415.1_ASM17141v1_genomic_4773","GCF_000171515.1_ASM17151v1_genomic_34809","GCF_000171535.2_ASM17153v2_genomic_12710"
"group_1008","","","13","13","1","11","7578","","","","1112","2018","1948","GCF_000007545.1_ASM754v1_genomic_18452","GCF_000020745.1_ASM2074v1_genomic_16043","GCF_000020885.1_ASM2088v1_genomic_15906","GCF_000020925.1_ASM2092v1_genomic_13369","GCF_000022165.1_ASM2216v1_genomic_2298","GCF_000170215.1_ASM17021v1_genomic_23126","GCF_000170255.1_ASM17025v1_genomic_2272","GCF_000171255.1_ASM17125v1_genomic_28033","GCF_000171275.1_ASM17127v1_genomic_23765","GCF_000171315.1_ASM17131v1_genomic_7487","GCF_000171415.1_ASM17141v1_genomic_1944","GCF_000171515.1_ASM17151v1_genomic_14858","GCF_000171535.2_ASM17153v2_genomic_27465"
"group_1012","","","13","13","1","11","6501","","","","530","539","530","GCF_000007545.1_ASM754v1_genomic_12123","GCF_000020745.1_ASM2074v1_genomic_2896","GCF_000020885.1_ASM2088v1_genomic_34900","GCF_000020925.1_ASM2092v1_genomic_39396","GCF_000022165.1_ASM2216v1_genomic_8376","GCF_000170215.1_ASM17021v1_genomic_3187","GCF_000170255.1_ASM17025v1_genomic_8291","GCF_000171255.1_ASM17125v1_genomic_17131","GCF_000171275.1_ASM17127v1_genomic_10514","GCF_000171315.1_ASM17131v1_genomic_28564","GCF_000171415.1_ASM17141v1_genomic_8347","GCF_000171515.1_ASM17151v1_genomic_28648","GCF_000171535.2_ASM17153v2_genomic_1604"
"group_1057","","","13","13","1","11","7072","","","","1025","1031","1027","GCF_000007545.1_ASM754v1_genomic_22129","GCF_000020745.1_ASM2074v1_genomic_17937","GCF_000020885.1_ASM2088v1_genomic_5220","GCF_000020925.1_ASM2092v1_genomic_19173","GCF_000022165.1_ASM2216v1_genomic_33789","GCF_000170215.1_ASM17021v1_genomic_32187","GCF_000170255.1_ASM17025v1_genomic_33490","GCF_000171255.1_ASM17125v1_genomic_8872","GCF_000171275.1_ASM17127v1_genomic_32018","GCF_000171315.1_ASM17131v1_genomic_7489","GCF_000171415.1_ASM17141v1_genomic_14080","GCF_000171515.1_ASM17151v1_genomic_10170","GCF_000171535.2_ASM17153v2_genomic_7667"
"group_1072","","","13","13","1","11","4169","","","","3953","4115","4059","GCF_000007545.1_ASM754v1_genomic_13910","GCF_000020745.1_ASM2074v1_genomic_13105","GCF_000020885.1_ASM2088v1_genomic_33293","GCF_000020925.1_ASM2092v1_genomic_17525","GCF_000022165.1_ASM2216v1_genomic_36672","GCF_000170215.1_ASM17021v1_genomic_7340","GCF_000170255.1_ASM17025v1_genomic_36347","GCF_000171255.1_ASM17125v1_genomic_31140","GCF_000171275.1_ASM17127v1_genomic_3141","GCF_000171315.1_ASM17131v1_genomic_31984","GCF_000171415.1_ASM17141v1_genomic_32508","GCF_000171515.1_ASM17151v1_genomic_702","GCF_000171535.2_ASM17153v2_genomic_1885"
"group_1114","","","13","13","1","11","2574","","","","590","590","590","GCF_000007545.1_ASM754v1_genomic_29117","GCF_000020745.1_ASM2074v1_genomic_38393","GCF_000020885.1_ASM2088v1_genomic_8892","GCF_000020925.1_ASM2092v1_genomic_7620","GCF_000022165.1_ASM2216v1_genomic_33028","GCF_000170215.1_ASM17021v1_genomic_31450","GCF_000170255.1_ASM17025v1_genomic_32735","GCF_000171255.1_ASM17125v1_genomic_2671","GCF_000171275.1_ASM17127v1_genomic_18241","GCF_000171315.1_ASM17131v1_genomic_15597","GCF_000171415.1_ASM17141v1_genomic_29395","GCF_000171515.1_ASM17151v1_genomic_33965","GCF_000171535.2_ASM17153v2_genomic_14617"
"group_1115","","","13","13","1","11","2566","","","","533","533","533","GCF_000007545.1_ASM754v1_genomic_16394","GCF_000020745.1_ASM2074v1_genomic_29822","GCF_000020885.1_ASM2088v1_genomic_30126","GCF_000020925.1_ASM2092v1_genomic_30874","GCF_000022165.1_ASM2216v1_genomic_30992","GCF_000170215.1_ASM17021v1_genomic_26128","GCF_000170255.1_ASM17025v1_genomic_30727","GCF_000171255.1_ASM17125v1_genomic_26233","GCF_000171275.1_ASM17127v1_genomic_3885","GCF_000171315.1_ASM17131v1_genomic_29733","GCF_000171415.1_ASM17141v1_genomic_30647","GCF_000171515.1_ASM17151v1_genomic_11637","GCF_000171535.2_ASM17153v2_genomic_6930"
"group_1116","","","13","13","1","11","2562","","","","692","704","702","GCF_000007545.1_ASM754v1_genomic_11979","GCF_000020745.1_ASM2074v1_genomic_28337","GCF_000020885.1_ASM2088v1_genomic_30885","GCF_000020925.1_ASM2092v1_genomic_29427","GCF_000022165.1_ASM2216v1_genomic_8821","GCF_000170215.1_ASM17021v1_genomic_8449","GCF_000170255.1_ASM17025v1_genomic_8727","GCF_000171255.1_ASM17125v1_genomic_26811","GCF_000171275.1_ASM17127v1_genomic_20316","GCF_000171315.1_ASM17131v1_genomic_648","GCF_000171415.1_ASM17141v1_genomic_36658","GCF_000171515.1_ASM17151v1_genomic_10767","GCF_000171535.2_ASM17153v2_genomic_2481"
"group_1117","","","13","13","1","11","2558","","","","1007","1007","1007","GCF_000007545.1_ASM754v1_genomic_35543","GCF_000020745.1_ASM2074v1_genomic_35624","GCF_000020885.1_ASM2088v1_genomic_33063","GCF_000020925.1_ASM2092v1_genomic_36106","GCF_000022165.1_ASM2216v1_genomic_4735","GCF_000170215.1_ASM17021v1_genomic_4521","GCF_000170255.1_ASM17025v1_genomic_4666","GCF_000171255.1_ASM17125v1_genomic_13872","GCF_000171275.1_ASM17127v1_genomic_8321","GCF_000171315.1_ASM17131v1_genomic_2553","GCF_000171415.1_ASM17141v1_genomic_997","GCF_000171515.1_ASM17151v1_genomic_3076","GCF_000171535.2_ASM17153v2_genomic_35035"
"group_1118","","","13","13","1","11","2557","","","","545","545","545","GCF_000007545.1_ASM754v1_genomic_3712","GCF_000020745.1_ASM2074v1_genomic_13275","GCF_000020885.1_ASM2088v1_genomic_27461","GCF_000020925.1_ASM2092v1_genomic_22076","GCF_000022165.1_ASM2216v1_genomic_10888","GCF_000170215.1_ASM17021v1_genomic_10450","GCF_000170255.1_ASM17025v1_genomic_10787","GCF_000171255.1_ASM17125v1_genomic_28410","GCF_000171275.1_ASM17127v1_genomic_14685","GCF_000171315.1_ASM17131v1_genomic_36190","GCF_000171415.1_ASM17141v1_genomic_5384","GCF_000171515.1_ASM17151v1_genomic_22433","GCF_000171535.2_ASM17153v2_genomic_11234"
