# BUSCO version is: 6.0.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	NC_011205.1	4396791	4400819	+	2313.8	1137	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Complete	NC_011205.1	4400896	4405119	+	2417.0	1187	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	NC_011205.1	4712314	4709459	-	1433.3	814	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	NC_011205.1	749109	746527	-	1214.0	713	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	NC_011205.1	1556218	1558815	+	1324.1	705	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	NC_011205.1	3197400	3193855	-	1327.1	953	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	NC_011205.1	270387	273869	+	1683.6	957	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	NC_011205.1	173519	176182	+	1521.5	776	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	NC_011205.1	2555773	2553047	-	1336.3	763	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	NC_011205.1	76863	80090	+	1764.1	933	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	NC_011205.1	154243	156948	+	1441.5	766	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	NC_011205.1	508855	511209	+	1323.4	683	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	NC_011205.1	4332517	4330319	-	923.6	607	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	NC_011205.1	2497499	2494863	-	1403.1	743	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Complete	NC_011205.1	103669	101309	-	926.9	634	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
