#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011205.1:143016-144332|+   -            439 38133at91347         -            376    6e-180  596.2   0.0   1   1  1.5e-182  8.9e-180  595.7   0.0     1   376     1   438     1   438 0.90 NC_011205.1_123 # 143016 # 144332 # 1 # ID=1_123;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582
NC_011205.1:140579-141937|+   -            453 38133at91347         -            376   1.7e-13   48.4   0.4   1   2   6.2e-09   3.7e-06   24.3   0.0    90   197   100   223    84   237 0.76 NC_011205.1_121 # 140579 # 141937 # 1 # ID=1_121;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_011205.1:140579-141937|+   -            453 38133at91347         -            376   1.7e-13   48.4   0.4   2   2   2.6e-08   1.5e-05   22.3   0.1   196   292   249   350   235   366 0.76 NC_011205.1_121 # 140579 # 141937 # 1 # ID=1_121;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_011205.1:146759-148234|+   -            492 38133at91347         -            376   2.4e-12   44.7   0.0   1   2   2.4e-10   1.4e-07   28.9   0.0    52   181    73   215    18   238 0.72 NC_011205.1_126 # 146759 # 148234 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011205.1:146759-148234|+   -            492 38133at91347         -            376   2.4e-12   44.7   0.0   2   2   1.2e-05    0.0071   13.5   0.0   224   264   290   330   260   337 0.91 NC_011205.1_126 # 146759 # 148234 # 1 # ID=1_126;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.565
NC_011205.1:139095-140582|+   -            496 38133at91347         -            376   5.5e-10   36.9   1.7   1   3   8.5e-07    0.0005   17.3   0.2    88   130   107   149   102   153 0.92 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:139095-140582|+   -            496 38133at91347         -            376   5.5e-10   36.9   1.7   2   3   4.9e-07   0.00029   18.1   0.0   138   198   182   246   157   262 0.83 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:139095-140582|+   -            496 38133at91347         -            376   5.5e-10   36.9   1.7   3   3      0.79   4.6e+02   -2.4   0.0   222   262   303   343   298   348 0.78 NC_011205.1_120 # 139095 # 140582 # 1 # ID=1_120;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
NC_011205.1:3539828-3541246|+ -            473 38133at91347         -            376   0.00013   19.2   0.0   1   2   3.4e-05      0.02   12.0   0.0     5    38   145   178   142   186 0.91 NC_011205.1_3399 # 3539828 # 3541246 # 1 # ID=1_3399;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.567
NC_011205.1:3539828-3541246|+ -            473 38133at91347         -            376   0.00013   19.2   0.0   2   2    0.0045       2.6    5.0   0.0     4    32   285   313   282   332 0.82 NC_011205.1_3399 # 3539828 # 3541246 # 1 # ID=1_3399;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.567
NC_011205.1:4672048-4673421|+ -            458 38133at91347         -            376   0.00014   19.0   0.0   1   2     0.019        11    3.0   0.0    91   120   104   133    93   192 0.83 NC_011205.1_4418 # 4672048 # 4673421 # 1 # ID=1_4418;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
