#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEI01000009.1:199174-200973|- -            600 11342at91347         -            517  6.4e-278  920.5   0.0   1   1  1.4e-280  7.4e-278  920.3   0.0     1   517     1   594     1   594 0.93 NZ_ABEI01000009.1_178 # 199174 # 200973 # -1 # ID=45_178;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.530
NZ_ABEI01000014.1:15795-17618|+   -            608 11342at91347         -            517   4.6e-40  135.7   0.1   1   2   2.4e-41   1.3e-38  131.0   0.1     2   204     3   233     2   259 0.84 NZ_ABEI01000014.1_16 # 15795 # 17618 # 1 # ID=40_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEI01000014.1:15795-17618|+   -            608 11342at91347         -            517   4.6e-40  135.7   0.1   2   2      0.02        11    2.5   0.0   260   372   327   431   314   472 0.68 NZ_ABEI01000014.1_16 # 15795 # 17618 # 1 # ID=40_16;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_ABEI01000043.1:169-2283|-      -            705 11342at91347         -            517   4.3e-27   92.9   0.0   1   4   3.5e-23   1.9e-20   71.0   0.0     3   144     9   164     7   192 0.78 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000043.1:169-2283|-      -            705 11342at91347         -            517   4.3e-27   92.9   0.0   2   4      0.31   1.7e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000043.1:169-2283|-      -            705 11342at91347         -            517   4.3e-27   92.9   0.0   3   4   5.5e-06     0.003   14.3   0.0   267   327   434   491   380   502 0.82 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000043.1:169-2283|-      -            705 11342at91347         -            517   4.3e-27   92.9   0.0   4   4     0.019        10    2.6   0.0   351   410   626   685   604   699 0.81 NZ_ABEI01000043.1_2 # 169 # 2283 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517
NZ_ABEI01000003.1:2986-4575|+     -            530 11342at91347         -            517   2.9e-24   83.6   0.0   1   2   3.2e-24   1.8e-21   74.4   0.0     4   144    13   164    10   184 0.85 NZ_ABEI01000003.1_5 # 2986 # 4575 # 1 # ID=51_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEI01000003.1:2986-4575|+     -            530 11342at91347         -            517   2.9e-24   83.6   0.0   2   2   0.00082      0.45    7.1   0.0   292   325   436   469   365   491 0.70 NZ_ABEI01000003.1_5 # 2986 # 4575 # 1 # ID=51_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEI01000008.1:174836-177514|- -            893 11342at91347         -            517   1.9e-18   64.4   0.1   1   1   2.5e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NZ_ABEI01000008.1_169 # 174836 # 177514 # -1 # ID=46_169;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.556
NZ_ABEI01000005.1:104173-105612|- -            480 11342at91347         -            517   3.3e-11   40.5   0.1   1   1   1.2e-13   6.5e-11   39.6   0.1    38   138    79   183    25   189 0.76 NZ_ABEI01000005.1_111 # 104173 # 105612 # -1 # ID=49_111;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_ABEI01000011.1:107501-109351|- -            617 11342at91347         -            517   1.2e-07   28.8   0.0   1   1   4.5e-10   2.5e-07   27.8   0.0    11   165     7   159     2   180 0.73 NZ_ABEI01000011.1_90 # 107501 # 109351 # -1 # ID=43_90;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.572
NZ_ABEI01000009.1:124075-125547|- -            491 11342at91347         -            517   0.00022   18.0   0.0   1   1   7.1e-07   0.00039   17.2   0.0    79   167   273   368   204   377 0.80 NZ_ABEI01000009.1_113 # 124075 # 125547 # -1 # ID=45_113;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm
# Target file:     reports/busco-results/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171275.1_ASM17127v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/11342at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/11342at91347.hmm reports/busco-results/GCF_000171275.1_ASM17127v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:25:57 2026
# [ok]
