#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000008.1:59746-61077|+   -            444 22118at91347         -            397  1.7e-234  776.0   8.1   1   1  1.1e-235  7.2e-233  770.7   8.1     1   397     1   443     1   443 0.96 NZ_ABFG01000008.1_45 # 59746 # 61077 # 1 # ID=43_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.535
NZ_ABFG01000003.1:227498-228769|- -            424 22118at91347         -            397   9.8e-49  164.4   0.5   1   3   6.9e-24   4.4e-21   73.3   0.0     5    99    66   167    63   175 0.87 NZ_ABFG01000003.1_234 # 227498 # 228769 # -1 # ID=48_234;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABFG01000003.1:227498-228769|- -            424 22118at91347         -            397   9.8e-49  164.4   0.5   2   3   3.5e-13   2.2e-10   38.0   0.0   217   280   176   255   171   262 0.76 NZ_ABFG01000003.1_234 # 227498 # 228769 # -1 # ID=48_234;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABFG01000003.1:227498-228769|- -            424 22118at91347         -            397   9.8e-49  164.4   0.5   3   3   9.1e-17   5.8e-14   49.8   0.0   280   372   299   386   271   411 0.81 NZ_ABFG01000003.1_234 # 227498 # 228769 # -1 # ID=48_234;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530
NZ_ABFG01000007.1:105360-107303|+ -            648 22118at91347         -            397     5e-08   30.3   0.3   1   3   1.7e-09   1.1e-06   25.9   0.0    15   103   158   245   145   248 0.79 NZ_ABFG01000007.1_100 # 105360 # 107303 # 1 # ID=44_100;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
NZ_ABFG01000007.1:105360-107303|+ -            648 22118at91347         -            397     5e-08   30.3   0.3   2   3     0.037        24    1.8   0.0   220   237   249   266   243   284 0.86 NZ_ABFG01000007.1_100 # 105360 # 107303 # 1 # ID=44_100;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
NZ_ABFG01000007.1:105360-107303|+ -            648 22118at91347         -            397     5e-08   30.3   0.3   3   3       1.4   8.9e+02   -3.4   0.0   293   328   550   588   546   597 0.75 NZ_ABFG01000007.1_100 # 105360 # 107303 # 1 # ID=44_100;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.557
NZ_ABFG01000005.1:353086-355659|+ -            858 22118at91347         -            397   5.4e-07   26.9   0.1   1   2    0.0052       3.3    4.6   0.1    33    66   189   221   172   227 0.80 NZ_ABFG01000005.1_318 # 353086 # 355659 # 1 # ID=46_318;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABFG01000005.1:353086-355659|+ -            858 22118at91347         -            397   5.4e-07   26.9   0.1   2   2     2e-07   0.00013   19.1   0.0    12    86   568   643   561   649 0.77 NZ_ABFG01000005.1_318 # 353086 # 355659 # 1 # ID=46_318;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.533
NZ_ABFG01000010.1:54680-56956|-   -            759 22118at91347         -            397   3.8e-06   24.1   0.4   1   4    0.0052       3.3    4.5   0.0    44    65   207   228   193   246 0.81 NZ_ABFG01000010.1_45 # 54680 # 56956 # -1 # ID=41_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
NZ_ABFG01000010.1:54680-56956|-   -            759 22118at91347         -            397   3.8e-06   24.1   0.4   2   4      0.16     1e+02   -0.3   0.0   215   232   273   292   263   318 0.72 NZ_ABFG01000010.1_45 # 54680 # 56956 # -1 # ID=41_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542
