#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:3916856-3917899|- -            348 29906at91347         -            311  2.5e-197  652.1   5.9   1   1  4.1e-200    3e-197  651.9   5.9     1   311     1   337     1   337 0.97 NZ_ABAM02000001.1_3620 # 3916856 # 3917899 # -1 # ID=2_3620;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.562
NZ_ABAM02000001.1:3135956-3137806|- -            617 29906at91347         -            311   4.3e-13   47.0   1.3   1   2     9e-13   6.5e-10   36.5   0.2   105   217   151   266    21   280 0.88 NZ_ABAM02000001.1_2899 # 3135956 # 3137806 # -1 # ID=2_2899;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.596
NZ_ABAM02000001.1:3135956-3137806|- -            617 29906at91347         -            311   4.3e-13   47.0   1.3   2   2   0.00079      0.58    7.2   0.1   198   270   498   570   489   577 0.85 NZ_ABAM02000001.1_2899 # 3135956 # 3137806 # -1 # ID=2_2899;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.596
NZ_ABAM02000001.1:1221432-1223111|- -            560 29906at91347         -            311   1.1e-10   39.0   0.0   1   2     0.069        50    0.8   0.0    13    30     8    25     4    50 0.87 NZ_ABAM02000001.1_1094 # 1221432 # 1223111 # -1 # ID=2_1094;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NZ_ABAM02000001.1:1221432-1223111|- -            560 29906at91347         -            311   1.1e-10   39.0   0.0   2   2   1.9e-12   1.4e-09   35.5   0.0   101   177   112   188   104   221 0.83 NZ_ABAM02000001.1_1094 # 1221432 # 1223111 # -1 # ID=2_1094;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526
NZ_ABAM02000001.1:512888-514804|+   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   1   2      0.16   1.2e+02   -0.4   0.0   160   199     5    44     2    75 0.66 NZ_ABAM02000001.1_460 # 512888 # 514804 # 1 # ID=2_460;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NZ_ABAM02000001.1:512888-514804|+   -            639 29906at91347         -            311   1.1e-07   29.3   0.0   2   2   9.8e-10   7.1e-07   26.6   0.0   102   201   134   243   102   252 0.79 NZ_ABAM02000001.1_460 # 512888 # 514804 # 1 # ID=2_460;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
NZ_ABAM02000001.1:2671592-2672944|+ -            451 29906at91347         -            311   1.2e-05   22.5   0.1   1   2   8.4e-08   6.1e-05   20.2   0.0   122   172   176   226   119   261 0.82 NZ_ABAM02000001.1_2493 # 2671592 # 2672944 # 1 # ID=2_2493;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABAM02000001.1:2671592-2672944|+ -            451 29906at91347         -            311   1.2e-05   22.5   0.1   2   2      0.16   1.1e+02   -0.4   0.0   241   261   376   396   340   443 0.78 NZ_ABAM02000001.1_2493 # 2671592 # 2672944 # 1 # ID=2_2493;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABAM02000001.1:3031016-3031855|- -            280 29906at91347         -            311   0.00021   18.4   0.0   1   1   4.1e-07   0.00029   18.0   0.0   126   190   114   173    59   218 0.77 NZ_ABAM02000001.1_2824 # 3031016 # 3031855 # -1 # ID=2_2824;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.614
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm
# Target file:     reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/29906at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/29906at91347.hmm reports/busco-results/data/00-reads/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 22:04:57 2026
# [ok]
