#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:4176201-4177532|- -            444 22118at91347         -            397  1.7e-234  776.0   8.1   1   1  1.3e-235  7.3e-233  770.7   8.1     1   397     1   443     1   443 0.96 NC_011094.1_3935 # 4176201 # 4177532 # -1 # ID=1_3935;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_011094.1:512209-513480|+   -            424 22118at91347         -            397   9.9e-49  164.4   0.5   1   3   7.9e-24   4.5e-21   73.3   0.0     5    99    66   167    63   175 0.87 NC_011094.1_451 # 512209 # 513480 # 1 # ID=1_451;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.529
NC_011094.1:512209-513480|+   -            424 22118at91347         -            397   9.9e-49  164.4   0.5   2   3     4e-13   2.3e-10   38.0   0.0   217   280   176   255   171   262 0.76 NC_011094.1_451 # 512209 # 513480 # 1 # ID=1_451;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.529
NC_011094.1:512209-513480|+   -            424 22118at91347         -            397   9.9e-49  164.4   0.5   3   3     1e-16   5.9e-14   49.8   0.0   280   372   299   386   271   411 0.81 NC_011094.1_451 # 512209 # 513480 # 1 # ID=1_451;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.529
NC_011094.1:3363822-3365765|- -            648 22118at91347         -            397   5.1e-08   30.3   0.3   1   3   1.9e-09   1.1e-06   25.9   0.0    15   103   158   245   145   248 0.79 NC_011094.1_3177 # 3363822 # 3365765 # -1 # ID=1_3177;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011094.1:3363822-3365765|- -            648 22118at91347         -            397   5.1e-08   30.3   0.3   2   3     0.042        24    1.8   0.0   220   237   249   266   243   284 0.86 NC_011094.1_3177 # 3363822 # 3365765 # -1 # ID=1_3177;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011094.1:3363822-3365765|- -            648 22118at91347         -            397   5.1e-08   30.3   0.3   3   3       1.6   9.1e+02   -3.4   0.0   293   328   550   588   546   597 0.75 NC_011094.1_3177 # 3363822 # 3365765 # -1 # ID=1_3177;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NC_011094.1:2754780-2757353|- -            858 22118at91347         -            397   5.5e-07   26.9   0.1   1   2    0.0059       3.4    4.6   0.1    33    66   189   221   172   227 0.80 NC_011094.1_2617 # 2754780 # 2757353 # -1 # ID=1_2617;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NC_011094.1:2754780-2757353|- -            858 22118at91347         -            397   5.5e-07   26.9   0.1   2   2   2.3e-07   0.00013   19.1   0.0    12    86   568   643   561   649 0.77 NC_011094.1_2617 # 2754780 # 2757353 # -1 # ID=1_2617;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.534
NC_011094.1:1033099-1035375|+ -            759 22118at91347         -            397   3.9e-06   24.1   0.4   1   4     0.006       3.4    4.5   0.0    44    65   207   228   193   246 0.81 NC_011094.1_985 # 1033099 # 1035375 # 1 # ID=1_985;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:1033099-1035375|+ -            759 22118at91347         -            397   3.9e-06   24.1   0.4   2   4      0.18     1e+02   -0.3   0.0   215   232   273   292   263   318 0.72 NC_011094.1_985 # 1033099 # 1035375 # 1 # ID=1_985;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.544
