#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_011094.1:2727878-2729677|- -            600 11342at91347         -            517  6.6e-278  920.5   0.0   1   1  1.7e-280  7.7e-278  920.3   0.0     1   517     1   594     1   594 0.93 NC_011094.1_2595 # 2727878 # 2729677 # -1 # ID=1_2595;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.531
NC_011094.1:4095721-4097544|+ -            608 11342at91347         -            517   4.3e-40  135.9   0.1   1   2   2.7e-41   1.2e-38  131.1   0.1     2   204     3   233     2   259 0.84 NC_011094.1_3851 # 4095721 # 4097544 # 1 # ID=1_3851;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_011094.1:4095721-4097544|+ -            608 11342at91347         -            517   4.3e-40  135.9   0.1   2   2     0.025        11    2.5   0.0   260   372   327   431   314   472 0.68 NC_011094.1_3851 # 4095721 # 4097544 # 1 # ID=1_3851;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.537
NC_011094.1:3497471-3499585|- -            705 11342at91347         -            517   4.5e-27   92.9   0.0   1   4   4.3e-23     2e-20   71.0   0.0     3   144     9   164     7   192 0.78 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3497471-3499585|- -            705 11342at91347         -            517   4.5e-27   92.9   0.0   2   4      0.39   1.8e+02   -1.4   0.0   145   174   259   289   243   299 0.74 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3497471-3499585|- -            705 11342at91347         -            517   4.5e-27   92.9   0.0   3   4   6.8e-06    0.0031   14.3   0.0   267   327   434   491   380   502 0.82 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:3497471-3499585|- -            705 11342at91347         -            517   4.5e-27   92.9   0.0   4   4     0.023        11    2.6   0.0   351   410   626   685   604   699 0.81 NC_011094.1_3324 # 3497471 # 3499585 # -1 # ID=1_3324;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_011094.1:4670300-4671889|+ -            530 11342at91347         -            517     3e-24   83.6   0.0   1   2     4e-24   1.8e-21   74.4   0.0     4   144    13   164    10   184 0.85 NC_011094.1_4388 # 4670300 # 4671889 # 1 # ID=1_4388;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:4670300-4671889|+ -            530 11342at91347         -            517     3e-24   83.6   0.0   2   2     0.001      0.47    7.1   0.0   292   325   436   469   365   491 0.70 NC_011094.1_4388 # 4670300 # 4671889 # 1 # ID=1_4388;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.544
NC_011094.1:3354026-3356704|- -            893 11342at91347         -            517     2e-18   64.4   0.1   1   1   3.1e-20   1.4e-17   61.6   0.1    51   208   425   599   394   611 0.79 NC_011094.1_3170 # 3354026 # 3356704 # -1 # ID=1_3170;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NC_011094.1:3496215-3497399|- -            395 11342at91347         -            517   8.9e-13   45.8   0.0   1   1   2.7e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_011094.1_3323 # 3496215 # 3497399 # -1 # ID=1_3323;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.539
NC_011094.1:4227931-4229115|+ -            395 11342at91347         -            517   8.9e-13   45.8   0.0   1   1   2.7e-15   1.2e-12   45.3   0.0     6   131    14   144     9   164 0.79 NC_011094.1_3972 # 4227931 # 4229115 # 1 # ID=1_3972;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.538
