#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFH02000001.1:423132-425987|+   -            952 854at91347           -            818         0 1436.0   0.0   1   1         0         0 1435.3   0.0     1   814     1   932     1   935 0.91 NZ_ABFH02000001.1_384 # 423132 # 425987 # 1 # ID=5_384;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.567
NZ_ABFH02000002.1:1425679-1428261|+ -            861 854at91347           -            818   3.1e-39  132.7   1.0   1   5   4.6e-24   5.3e-21   72.4   0.1     1   179     1   169     1   178 0.82 NZ_ABFH02000002.1_1421 # 1425679 # 1428261 # 1 # ID=4_1421;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABFH02000002.1:1425679-1428261|+ -            861 854at91347           -            818   3.1e-39  132.7   1.0   2   5   0.00072      0.82    5.6   0.1   152   224   196   266   179   303 0.74 NZ_ABFH02000002.1_1421 # 1425679 # 1428261 # 1 # ID=4_1421;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABFH02000002.1:1425679-1428261|+ -            861 854at91347           -            818   3.1e-39  132.7   1.0   3   5   1.9e-08   2.2e-05   20.8   0.0   231   284   306   359   299   374 0.88 NZ_ABFH02000002.1_1421 # 1425679 # 1428261 # 1 # ID=4_1421;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABFH02000002.1:1425679-1428261|+ -            861 854at91347           -            818   3.1e-39  132.7   1.0   4   5   0.00035       0.4    6.7   0.0   384   402   416   434   412   450 0.84 NZ_ABFH02000002.1_1421 # 1425679 # 1428261 # 1 # ID=4_1421;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABFH02000002.1:1425679-1428261|+ -            861 854at91347           -            818   3.1e-39  132.7   1.0   5   5   1.7e-07    0.0002   17.6   0.0   483   700   548   776   479   808 0.63 NZ_ABFH02000002.1_1421 # 1425679 # 1428261 # 1 # ID=4_1421;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.558
NZ_ABFH02000001.1:242386-245220|-   -            945 854at91347           -            818   1.8e-38  130.2   0.0   1   4     4e-15   4.5e-12   42.8   0.0    25   187    45   206    32   284 0.90 NZ_ABFH02000001.1_212 # 242386 # 245220 # -1 # ID=5_212;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:242386-245220|-   -            945 854at91347           -            818   1.8e-38  130.2   0.0   2   4   7.7e-15   8.8e-12   41.9   0.0   236   434   308   510   304   514 0.77 NZ_ABFH02000001.1_212 # 242386 # 245220 # -1 # ID=5_212;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:242386-245220|-   -            945 854at91347           -            818   1.8e-38  130.2   0.0   3   4   3.6e-10   4.1e-07   26.5   0.1   419   529   521   623   507   661 0.79 NZ_ABFH02000001.1_212 # 242386 # 245220 # -1 # ID=5_212;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:242386-245220|-   -            945 854at91347           -            818   1.8e-38  130.2   0.0   4   4   2.5e-06    0.0029   13.7   0.1   610   698   679   778   623   782 0.83 NZ_ABFH02000001.1_212 # 242386 # 245220 # -1 # ID=5_212;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABFH02000001.1:2869379-2871412|- -            678 854at91347           -            818   0.00044   16.4   0.2   1   3   3.8e-07   0.00044   16.4   0.2    36    79    13    56     2    82 0.84 NZ_ABFH02000001.1_2622 # 2869379 # 2871412 # -1 # ID=5_2622;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.550
NZ_ABFH02000001.1:2869379-2871412|- -            678 854at91347           -            818   0.00044   16.4   0.2   2   3     0.094   1.1e+02   -1.4   0.2   373   415   214   267   210   329 0.55 NZ_ABFH02000001.1_2622 # 2869379 # 2871412 # -1 # ID=5_2622;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.550
NZ_ABFH02000001.1:2869379-2871412|- -            678 854at91347           -            818   0.00044   16.4   0.2   3   3       0.1   1.2e+02   -1.6   0.0   498   520   322   343   317   366 0.78 NZ_ABFH02000001.1_2622 # 2869379 # 2871412 # -1 # ID=5_2622;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.550
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm
# Target file:     reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/run_enterobacterales_odb10/hmmer_output/854at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/busco_downloads/lineages/enterobacterales_odb10/hmms/854at91347.hmm reports/busco-results/GCF_000171535.2_ASM17153v2_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Sat Feb 21 23:27:37 2026
# [ok]
