#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAO01000037.1:19092-19523|- -            144 86762at91347         -            108   4.2e-37  124.8   2.2   1   1   2.7e-37   2.1e-34  116.1   2.2     1   108     1   143     1   143 0.89 NZ_ABAO01000037.1_18 # 19092 # 19523 # -1 # ID=77_18;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.502
NZ_ABAO01000014.1:79260-79787|+ -            176 86762at91347         -            108     1e-05   23.8   0.0   1   2   9.8e-05     0.077   11.3   0.0    32    65     6    38     1    42 0.80 NZ_ABAO01000014.1_65 # 79260 # 79787 # 1 # ID=100_65;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.564
NZ_ABAO01000014.1:79260-79787|+ -            176 86762at91347         -            108     1e-05   23.8   0.0   2   2   0.00019      0.15   10.5   0.0    85   107    84   106    76   107 0.88 NZ_ABAO01000014.1_65 # 79260 # 79787 # 1 # ID=100_65;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.564
NZ_ABAO01000004.3:45933-46259|- -            109 86762at91347         -            108   1.5e-05   23.3   0.0   1   2   7.6e-07    0.0006   18.1   0.0    28    70     3    45     1    64 0.88 NZ_ABAO01000004.3_38 # 45933 # 46259 # -1 # ID=110_38;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABAO01000004.3:45933-46259|- -            109 86762at91347         -            108   1.5e-05   23.3   0.0   2   2     0.029        23    3.4   0.0    79    99    78    98    69   102 0.89 NZ_ABAO01000004.3_38 # 45933 # 46259 # -1 # ID=110_38;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_ABAO01000032.3:18945-19997|+ -            351 86762at91347         -            108    0.0033   15.8   0.0   1   2   2.4e-05     0.019   13.3   0.0    35    69   139   173   131   206 0.84 NZ_ABAO01000032.3_22 # 18945 # 19997 # 1 # ID=82_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NZ_ABAO01000032.3:18945-19997|+ -            351 86762at91347         -            108    0.0033   15.8   0.0   2   2      0.61   4.8e+02   -0.9   0.0    79    98   213   232   205   236 0.86 NZ_ABAO01000032.3_22 # 18945 # 19997 # 1 # ID=82_22;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.511
NZ_ABAO01000028.3:22983-23297|- -            105 86762at91347         -            108    0.0043   15.4   0.0   1   1   7.6e-06    0.0059   14.9   0.0    49    72    24    47    17    69 0.85 NZ_ABAO01000028.3_24 # 22983 # 23297 # -1 # ID=86_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.435
NZ_ABAO01000016.3:1654-2496|+   -            281 86762at91347         -            108     0.014   13.8   0.1   1   4       1.7   1.3e+03   -2.3   0.0    56    67    41    52    36    57 0.80 NZ_ABAO01000016.3_2 # 1654 # 2496 # 1 # ID=98_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABAO01000016.3:1654-2496|+   -            281 86762at91347         -            108     0.014   13.8   0.1   2   4   0.00031      0.24    9.7   0.0    79   102   108   131    99   137 0.88 NZ_ABAO01000016.3_2 # 1654 # 2496 # 1 # ID=98_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABAO01000016.3:1654-2496|+   -            281 86762at91347         -            108     0.014   13.8   0.1   3   4      0.42   3.3e+02   -0.3   0.0    44    58   167   181   151   206 0.62 NZ_ABAO01000016.3_2 # 1654 # 2496 # 1 # ID=98_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
NZ_ABAO01000016.3:1654-2496|+   -            281 86762at91347         -            108     0.014   13.8   0.1   4   4       2.3   1.8e+03   -2.7   0.0    72    98   244   270   234   277 0.68 NZ_ABAO01000016.3_2 # 1654 # 2496 # 1 # ID=98_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.593
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/86762at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/86762at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/86762at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170255.1_ASM17025v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:38 2026
# [ok]
