#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABFG01000006.1:280123-282978|+ -            952 854at91347           -            818         0 1435.3   0.0   1   1         0         0 1434.6   0.0     1   814     1   932     1   935 0.91 NZ_ABFG01000006.1_248 # 280123 # 282978 # 1 # ID=45_248;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.567
NZ_ABFG01000016.1:43537-46119|+   -            861 854at91347           -            818   1.9e-39  133.4   1.3   1   5   4.6e-24   5.2e-21   72.4   0.1     1   179     1   169     1   178 0.82 NZ_ABFG01000016.1_37 # 43537 # 46119 # 1 # ID=35_37;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABFG01000016.1:43537-46119|+   -            861 854at91347           -            818   1.9e-39  133.4   1.3   2   5   0.00072      0.81    5.6   0.1   152   224   196   266   179   303 0.74 NZ_ABFG01000016.1_37 # 43537 # 46119 # 1 # ID=35_37;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABFG01000016.1:43537-46119|+   -            861 854at91347           -            818   1.9e-39  133.4   1.3   3   5   1.9e-08   2.1e-05   20.8   0.0   231   284   306   359   299   374 0.88 NZ_ABFG01000016.1_37 # 43537 # 46119 # 1 # ID=35_37;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABFG01000016.1:43537-46119|+   -            861 854at91347           -            818   1.9e-39  133.4   1.3   4   5   0.00035      0.39    6.7   0.0   384   402   416   434   412   450 0.84 NZ_ABFG01000016.1_37 # 43537 # 46119 # 1 # ID=35_37;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABFG01000016.1:43537-46119|+   -            861 854at91347           -            818   1.9e-39  133.4   1.3   5   5   8.6e-08   9.7e-05   18.6   0.0   483   700   548   776   479   809 0.64 NZ_ABFG01000016.1_37 # 43537 # 46119 # 1 # ID=35_37;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.557
NZ_ABFG01000006.1:99124-101958|-  -            945 854at91347           -            818   1.7e-38  130.2   0.0   1   4   3.8e-15   4.3e-12   42.9   0.0    25   187    45   206    32   285 0.90 NZ_ABFG01000006.1_87 # 99124 # 101958 # -1 # ID=45_87;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABFG01000006.1:99124-101958|-  -            945 854at91347           -            818   1.7e-38  130.2   0.0   2   4   7.7e-15   8.6e-12   41.9   0.0   236   434   308   510   304   514 0.77 NZ_ABFG01000006.1_87 # 99124 # 101958 # -1 # ID=45_87;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABFG01000006.1:99124-101958|-  -            945 854at91347           -            818   1.7e-38  130.2   0.0   3   4   3.6e-10     4e-07   26.5   0.1   419   529   521   623   507   661 0.79 NZ_ABFG01000006.1_87 # 99124 # 101958 # -1 # ID=45_87;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABFG01000006.1:99124-101958|-  -            945 854at91347           -            818   1.7e-38  130.2   0.0   4   4   2.5e-06    0.0028   13.7   0.1   610   698   679   778   623   782 0.83 NZ_ABFG01000006.1_87 # 99124 # 101958 # -1 # ID=45_87;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550
NZ_ABFG01000001.1:51605-53638|-   -            678 854at91347           -            818   0.00043   16.4   0.2   1   3   3.8e-07   0.00043   16.4   0.2    36    79    13    56     2    82 0.84 NZ_ABFG01000001.1_49 # 51605 # 53638 # -1 # ID=50_49;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.547
