#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_016856.1:3934316-3934795|+ -            160 78566at91347         -            144   1.6e-73  243.4   0.1   1   1     2e-76   1.8e-73  243.2   0.1     1   143     3   157     3   158 0.92 NC_016856.1_3705 # 3934316 # 3934795 # 1 # ID=1_3705;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.527
NC_016856.1:707342-707992|-   -            217 78566at91347         -            144   5.2e-05   21.3   0.0   1   3   5.8e-06    0.0054   14.7   0.0     2    26     8    32     7    44 0.80 NC_016856.1_638 # 707342 # 707992 # -1 # ID=1_638;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NC_016856.1:707342-707992|-   -            217 78566at91347         -            144   5.2e-05   21.3   0.0   2   3     0.037        35    2.4   0.0    32    47    65    79    57    87 0.82 NC_016856.1_638 # 707342 # 707992 # -1 # ID=1_638;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NC_016856.1:707342-707992|-   -            217 78566at91347         -            144   5.2e-05   21.3   0.0   3   3      0.22     2e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NC_016856.1_638 # 707342 # 707992 # -1 # ID=1_638;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NC_016856.1:68712-69680|+     -            323 78566at91347         -            144     0.027   12.5   0.0   1   1   4.5e-05     0.042   11.8   0.0    10    64   133   188   127   237 0.68 NC_016856.1_57 # 68712 # 69680 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NC_016856.1:4848642-4849874|+ -            411 78566at91347         -            144      0.04   11.9   0.6   1   3   0.00019      0.17    9.8   0.0     6    34    70    98    65   109 0.87 NC_016856.1_4517 # 4848642 # 4849874 # 1 # ID=1_4517;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_016856.1:4848642-4849874|+ -            411 78566at91347         -            144      0.04   11.9   0.6   2   3       1.1     1e+03   -2.4   0.0     8    30   283   305   278   309 0.80 NC_016856.1_4517 # 4848642 # 4849874 # 1 # ID=1_4517;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_016856.1:4848642-4849874|+ -            411 78566at91347         -            144      0.04   11.9   0.6   3   3      0.98   9.1e+02   -2.2   0.0    57    77   363   383   359   387 0.81 NC_016856.1_4517 # 4848642 # 4849874 # 1 # ID=1_4517;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NC_016856.1:3380812-3382245|- -            478 78566at91347         -            144     0.047   11.7   0.0   1   2       3.2   2.9e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NC_016856.1_3191 # 3380812 # 3382245 # -1 # ID=1_3191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NC_016856.1:3380812-3382245|- -            478 78566at91347         -            144     0.047   11.7   0.0   2   2   0.00013      0.12   10.3   0.0     4    38   344   378   341   414 0.86 NC_016856.1_3191 # 3380812 # 3382245 # -1 # ID=1_3191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000022165.1_ASM2216v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:55:29 2026
# [ok]
