#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_004631.1:3762288-3763658|+ -            457 47034at91347         -            399  1.8e-197  654.2   0.6   1   1  5.1e-200  2.2e-197  653.9   0.6     1   394     7   443     7   454 0.92 NC_004631.1_3639 # 3762288 # 3763658 # 1 # ID=1_3639;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
NC_004631.1:262278-263303|+   -            342 47034at91347         -            399   1.1e-06   25.9  18.1   1   2   2.4e-08     1e-05   22.7  13.8   227   385   109   257   104   266 0.81 NC_004631.1_229 # 262278 # 263303 # 1 # ID=1_229;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.519
NC_004631.1:262278-263303|+   -            342 47034at91347         -            399   1.1e-06   25.9  18.1   2   2     0.034        14    2.5   0.2   224   260   255   292   252   296 0.80 NC_004631.1_229 # 262278 # 263303 # 1 # ID=1_229;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.519
NC_004631.1:4241114-4241668|- -            185 47034at91347         -            399   2.7e-06   24.7   4.9   1   2   0.00032      0.14    9.2   0.2   248   297    15    66    13    72 0.57 NC_004631.1_4103 # 4241114 # 4241668 # -1 # ID=1_4103;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NC_004631.1:4241114-4241668|- -            185 47034at91347         -            399   2.7e-06   24.7   4.9   2   2   8.9e-07   0.00038   17.6   0.8   228   279    81   132    76   181 0.85 NC_004631.1_4103 # 4241114 # 4241668 # -1 # ID=1_4103;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.510
NC_004631.1:848004-848492|+   -            163 47034at91347         -            399   9.6e-06   22.8   3.8   1   2    0.0037       1.6    5.7   0.1   223   262    59   100    40   107 0.66 NC_004631.1_758 # 848004 # 848492 # 1 # ID=1_758;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:848004-848492|+   -            163 47034at91347         -            399   9.6e-06   22.8   3.8   2   2   5.2e-07   0.00022   18.4   0.7   230   265   111   146   103   158 0.89 NC_004631.1_758 # 848004 # 848492 # 1 # ID=1_758;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.564
NC_004631.1:246289-247113|-   -            275 47034at91347         -            399   5.1e-05   20.5   0.4   1   1   1.6e-07   6.9e-05   20.0   0.4   310   392   133   218   103   223 0.79 NC_004631.1_216 # 246289 # 247113 # -1 # ID=1_216;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.541
NC_004631.1:1723312-1724220|- -            303 47034at91347         -            399    0.0012   15.9   0.1   1   3   0.00018     0.076   10.0   0.0     3    38    12    50    10    74 0.75 NC_004631.1_1667 # 1723312 # 1724220 # -1 # ID=1_1667;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.496
NC_004631.1:1723312-1724220|- -            303 47034at91347         -            399    0.0012   15.9   0.1   2   3     0.018       7.6    3.4   0.0    53    90   104   141    78   187 0.74 NC_004631.1_1667 # 1723312 # 1724220 # -1 # ID=1_1667;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.496
NC_004631.1:1723312-1724220|- -            303 47034at91347         -            399    0.0012   15.9   0.1   3   3      0.95     4e+02   -2.2   0.0   161   184   237   260   214   274 0.83 NC_004631.1_1667 # 1723312 # 1724220 # -1 # ID=1_1667;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.496
