#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABAM02000001.1:4293097-4293576|+ -            160 78566at91347         -            144   2.7e-73  242.5   0.1   1   1   3.5e-76   3.1e-73  242.4   0.1     1   143     3   157     3   158 0.92 NZ_ABAM02000001.1_3964 # 4293097 # 4293576 # 1 # ID=2_3964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NZ_ABAM02000001.1:1205754-1206404|- -            217 78566at91347         -            144   4.9e-05   21.3   0.0   1   3   5.8e-06     0.005   14.7   0.0     2    26     8    32     7    44 0.80 NZ_ABAM02000001.1_1080 # 1205754 # 1206404 # -1 # ID=2_1080;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_ABAM02000001.1:1205754-1206404|- -            217 78566at91347         -            144   4.9e-05   21.3   0.0   2   3     0.037        33    2.4   0.0    32    47    65    79    57    87 0.82 NZ_ABAM02000001.1_1080 # 1205754 # 1206404 # -1 # ID=2_1080;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_ABAM02000001.1:1205754-1206404|- -            217 78566at91347         -            144   4.9e-05   21.3   0.0   3   3      0.22   1.9e+02   -0.1   0.0   115   140   181   206   157   208 0.85 NZ_ABAM02000001.1_1080 # 1205754 # 1206404 # -1 # ID=2_1080;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_ABAM02000001.1:570007-570975|+   -            323 78566at91347         -            144     0.025   12.5   0.0   1   1   4.5e-05      0.04   11.8   0.0    10    64   133   188   127   237 0.68 NZ_ABAM02000001.1_506 # 570007 # 570975 # 1 # ID=2_506;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NZ_ABAM02000001.1:479673-480905|+   -            411 78566at91347         -            144     0.038   11.9   0.6   1   3   0.00019      0.16    9.8   0.0     6    34    70    98    65   109 0.87 NZ_ABAM02000001.1_429 # 479673 # 480905 # 1 # ID=2_429;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABAM02000001.1:479673-480905|+   -            411 78566at91347         -            144     0.038   11.9   0.6   2   3       1.1   9.7e+02   -2.4   0.0     8    30   283   305   278   309 0.80 NZ_ABAM02000001.1_429 # 479673 # 480905 # 1 # ID=2_429;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABAM02000001.1:479673-480905|+   -            411 78566at91347         -            144     0.038   11.9   0.6   3   3      0.98   8.5e+02   -2.2   0.0    57    77   363   383   359   387 0.81 NZ_ABAM02000001.1_429 # 479673 # 480905 # 1 # ID=2_429;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.509
NZ_ABAM02000001.1:3736255-3737688|- -            478 78566at91347         -            144     0.044   11.7   0.0   1   2       3.2   2.7e+03   -3.9   0.0    76    93   211   228   204   236 0.72 NZ_ABAM02000001.1_3448 # 3736255 # 3737688 # -1 # ID=2_3448;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
NZ_ABAM02000001.1:3736255-3737688|- -            478 78566at91347         -            144     0.044   11.7   0.0   2   2   0.00013      0.11   10.3   0.0     4    38   344   378   341   414 0.86 NZ_ABAM02000001.1_3448 # 3736255 # 3737688 # -1 # ID=2_3448;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.575
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/78566at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/78566at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000170215.1_ASM17021v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:53:47 2026
# [ok]
