#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_ABEL01000007.1:190449-190949|- -            167 35495at91347         -            238   6.4e-51  170.9   0.0   1   1     2e-53     1e-50  170.3   0.0   109   238    11   165     8   165 0.90 NZ_ABEL01000007.1_158 # 190449 # 190949 # -1 # ID=42_158;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.517
NZ_ABEL01000026.1:22995-23273|+   -             93 35495at91347         -            238     3e-31  106.5   0.1   1   1     7e-34   3.4e-31  106.3   0.1     1    74     7    93     7    93 0.84 NZ_ABEL01000026.1_23 # 22995 # 23273 # 1 # ID=23_23;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.513
NZ_ABEL01000007.1:117974-119446|- -            491 35495at91347         -            238   3.1e-22   77.0   0.0   1   2   5.8e-11   2.8e-08   31.3   0.0     4   105     4   122     1   125 0.76 NZ_ABEL01000007.1_96 # 117974 # 119446 # -1 # ID=42_96;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000007.1:117974-119446|- -            491 35495at91347         -            238   3.1e-22   77.0   0.0   2   2   3.1e-14   1.5e-11   42.0   0.2     5   105   205   325   203   328 0.76 NZ_ABEL01000007.1_96 # 117974 # 119446 # -1 # ID=42_96;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.547
NZ_ABEL01000003.1:444573-445976|+ -            468 35495at91347         -            238     1e-07   29.5   0.0   1   1   3.8e-10   1.9e-07   28.6   0.0     5    80   232   319   229   327 0.71 NZ_ABEL01000003.1_394 # 444573 # 445976 # 1 # ID=46_394;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.591
NZ_ABEL01000020.1:3348-4628|-     -            427 35495at91347         -            238   5.9e-06   23.7   0.0   1   1     2e-08   9.8e-06   23.0   0.0     4   106   199   322   197   328 0.74 NZ_ABEL01000020.1_5 # 3348 # 4628 # -1 # ID=29_5;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_ABEL01000012.1:129454-130086|+ -            211 35495at91347         -            238   0.00021   18.6   0.0   1   1   7.5e-07   0.00037   17.8   0.0     2    57    25    82    24    94 0.87 NZ_ABEL01000012.1_124 # 129454 # 130086 # 1 # ID=37_124;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NZ_ABEL01000006.1:173579-176257|- -            893 35495at91347         -            238   0.00051   17.4   0.0   1   1   2.2e-06    0.0011   16.3   0.0     4   105   395   504   393   507 0.72 NZ_ABEL01000006.1_164 # 173579 # 176257 # -1 # ID=43_164;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.554
NZ_ABEL01000002.1:468379-469470|+ -            364 35495at91347         -            238    0.0011   16.3   0.0   1   1   3.6e-06    0.0018   15.6   0.0     6    27     6    27     2    33 0.87 NZ_ABEL01000002.1_448 # 468379 # 469470 # 1 # ID=47_448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531
NZ_ABEL01000003.1:61087-63405|+   -            773 35495at91347         -            238    0.0028   14.9   0.0   1   1   9.4e-06    0.0046   14.2   0.0     5    59     6    62     4   123 0.84 NZ_ABEL01000003.1_58 # 61087 # 63405 # 1 # ID=46_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.563
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/35495at91347.hmm
# Target file:     /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/run_enterobacterales_odb10/hmmer_output/35495at91347.out --cpu 1 /Users/dizzler/Projects/School/BIOL4600-Capstone/databases/lineages/enterobacterales_odb10/hmms/35495at91347.hmm /Users/dizzler/Projects/School/BIOL4600-Capstone/reports/busco-results/GCF_000171315.1_ASM17131v1_genomic.fna/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/dizzler/Projects/School/BIOL4600-Capstone
# Date:            Wed Feb 25 22:54:16 2026
# [ok]
